Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
2,0,0,1,1,0,0,0,0,0,0
3,0,1,1,2,0,0,0,0,0,0
5,1,2,1,2,0,0,0,0,0,0
8,1,3,1,2,1,0,0,0,0,0
13,2,3,1,3,1,0,0,0,0,0
17,3,3,1,3,1,0,0,0,0,0
18,4,3,1,3,1,0,0,0,0,0
19,4,3,2,3,1,0,0,0,0,0
21,5,3,2,3,1,0,0,0,0,0
24,6,5,2,3,1,0,0,0,0,0
29,6,6,2,3,1,0,0,0,0,0
30,7,6,2,4,1,0,0,0,0,0
31,7,6,2,5,1,0,0,0,0,0
35,8,6,2,5,1,0,0,0,0,0
39,9,6,2,5,1,0,0,0,0,0
40,10,6,2,6,1,0,0,0,0,0
41,10,6,2,6,2,0,0,0,0,0
44,11,6,3,6,2,0,0,0,0,0
45,11,6,3,6,3,0,0,0,0,0
47,11,6,3,7,3,0,0,0,0,0
49,11,7,3,7,3,0,0,0,0,0
51,11,8,3,8,3,0,0,0,0,0
54,12,8,3,8,3,0,0,0,0,0
55,12,9,3,8,4,0,0,0,0,0
57,12,9,3,8,5,0,0,0,0,0
61,12,9,4,9,5,0,0,0,0,0
64,12,9,4,10,5,0,0,0,0,0
65,13,9,4,10,5,0,0,0,0,0
72,13,9,4,10,7,0,0,0,0,0
73,13,10,4,10,7,0,0,0,0,0
75,14,10,4,10,7,0,0,0,0,0
79,14,12,4,10,7,0,0,0,0,0
80,16,12,5,10,7,0,0,0,0,0
81,17,12,5,10,7,0,0,0,0,0
83,18,12,5,10,7,0,0,0,0,0
87,18,12,5,11,7,0,0,0,0,0
88,19,12,5,11,7,0,0,0,0,0
89,20,13,5,11,7,0,0,0,0,0
94,22,13,5,12,7,0,0,0,0,0
95,22,13,6,12,7,0,0,0,0,0
97,22,14,6,12,7,0,0,0,0,0
98,24,14,6,12,7,0,0,0,0,0
100,25,14,6,14,7,0,0,0,0,0
102,26,14,6,15,7,0,0,0,0,0
106,26,14,6,16,7,0,0,0,0,0
108,26,15,6,16,7,0,0,0,0,0
110,27,15,6,17,7,0,0,0,0,0
111,27,15,6,17,8,0,0,0,0,0
114,28,15,6,18,8,0,0,0,0,0
117,28,16,6,19,8,0,0,0,0,0
119,29,16,6,19,8,0,0,0,0,0
120,29,16,7,19,8,0,0,0,0,0
122,29,17,7,19,8,0,0,0,0,0
127,29,18,7,19,8,0,0,0,0,0
128,30,18,7,19,8,0,0,0,0,0
131,30,18,7,19,9,0,0,0,0,0
132,30,19,7,19,9,0,0,0,0,0
135,31,19,7,21,9,0,0,0,0,0
136,31,21,7,22,9,0,0,0,0,0
137,32,22,7,22,9,0,0,0,0,0
138,32,22,7,23,9,0,0,0,0,0
139,32,22,7,24,9,0,0,0,0,0
143,33,22,7,24,9,0,0,0,0,0
145,33,22,9,24,9,0,0,0,0,0
146,34,22,9,24,9,0,0,0,0,0
147,35,23,9,24,9,0,0,0,0,0
149,36,24,9,24,8,0,0,0,0,0
152,36,24,9,25,8,0,0,0,0,0
155,36,24,9,26,8,0,0,0,0,0
159,36,25,9,26,7,0,0,0,0,0
161,36,26,9,26,7,0,0,0,0,0
162,37,26,9,26,7,0,0,0,0,0
163,37,26,9,27,7,0,0,0,0,0
167,38,26,9,27,7,0,0,0,0,0
168,39,26,9,27,7,0,0,0,0,0
170,39,27,9,27,7,0,0,0,0,0
172,39,28,9,27,7,0,0,0,0,0
173,39,29,9,27,7,0,0,0,0,0
174,40,29,9,27,7,0,0,0,0,0
175,40,30,9,27,7,0,0,0,0,0
176,40,31,9,27,8,0,0,0,0,0
177,40,32,9,27,8,0,0,0,0,0
178,40,33,9,27,8,0,0,0,0,0
182,40,34,9,27,8,0,0,0,0,0
184,40,34,9,27,7,0,0,0,0,0
186,40,35,9,27,7,0,0,0,0,0
187,40,36,9,27,7,0,0,0,0,0
188,40,37,9,27,7,0,0,0,0,0
191,40,37,9,27,7,1,0,0,0,0
192,40,37,9,27,7,2,0,0,0,0
194,40,36,9,27,7,4,0,0,0,0
197,40,36,9,27,8,4,0,0,0,0
198,41,36,9,28,8,4,0,0,0,0
200,41,36,9,28,8,4,2,0,0,0
