Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
1,2,0,0,0,0,0,0,0,0,0
3,2,0,1,0,0,0,0,0,0,0
5,3,0,1,0,1,0,0,0,0,0
6,5,0,1,0,1,0,0,0,0,0
13,5,0,1,1,1,0,0,0,0,0
14,6,1,1,1,1,0,0,0,0,0
15,6,2,1,1,1,0,0,0,0,0
17,7,2,1,1,1,0,0,0,0,0
20,8,2,1,1,1,0,0,0,0,0
21,8,3,1,1,1,0,0,0,0,0
22,9,3,1,1,1,0,0,0,0,0
28,10,3,1,1,1,0,0,0,0,0
29,10,4,1,1,1,0,0,0,0,0
31,11,4,1,2,1,0,0,0,0,0
37,12,4,1,2,1,0,0,0,0,0
40,12,4,1,3,1,0,0,0,0,0
43,12,4,1,4,1,0,0,0,0,0
44,12,4,1,5,1,0,0,0,0,0
46,13,4,1,5,1,0,0,0,0,0
47,13,4,1,6,1,0,0,0,0,0
48,14,4,1,6,1,0,0,0,0,0
50,15,4,1,6,1,0,0,0,0,0
53,16,4,1,6,1,0,0,0,0,0
54,17,4,1,6,1,0,0,0,0,0
55,17,4,1,7,1,0,0,0,0,0
56,18,4,1,7,1,0,0,0,0,0
58,18,4,1,7,2,0,0,0,0,0
59,18,4,1,8,2,0,0,0,0,0
60,19,4,1,8,2,0,0,0,0,0
62,19,4,1,9,2,0,0,0,0,0
63,19,5,1,9,3,0,0,0,0,0
64,20,5,1,9,3,0,0,0,0,0
66,21,5,1,9,3,0,0,0,0,0
68,21,5,1,10,3,0,0,0,0,0
69,22,5,1,10,3,0,0,0,0,0
70,22,5,1,11,3,0,0,0,0,0
71,22,5,1,12,3,0,0,0,0,0
74,23,6,1,12,3,0,0,0,0,0
80,24,6,1,12,3,0,0,0,0,0
81,24,6,1,13,3,0,0,0,0,0
83,26,7,1,13,3,0,0,0,0,0
84,26,8,1,13,3,0,0,0,0,0
86,26,8,1,14,3,0,0,0,0,0
88,27,8,1,14,3,0,0,0,0,0
89,29,8,1,14,3,0,0,0,0,0
91,29,8,2,14,3,0,0,0,0,0
92,29,8,2,15,3,0,0,0,0,0
93,29,8,2,15,4,0,0,0,0,0
94,30,8,2,15,4,0,0,0,0,0
95,31,8,2,15,4,0,0,0,0,0
97,32,8,2,15,4,0,0,0,0,0
99,33,8,2,16,4,0,0,0,0,0
102,34,8,2,16,4,0,0,0,0,0
103,36,9,2,16,4,0,0,0,0,0
107,36,9,2,17,4,0,0,0,0,0
109,36,9,2,18,4,0,0,0,0,0
111,37,9,2,18,4,0,0,0,0,0
116,37,10,2,18,4,0,0,0,0,0
117,37,11,3,18,4,0,0,0,0,0
120,38,11,3,18,4,0,0,0,0,0
123,39,11,3,18,4,0,0,0,0,0
124,39,11,3,19,4,0,0,0,0,0
126,39,11,3,20,4,0,0,0,0,0
131,39,12,3,20,4,0,0,0,0,0
133,39,12,3,21,4,0,0,0,0,0
134,39,12,4,21,4,0,0,0,0,0
135,39,12,4,22,4,0,0,0,0,0
136,40,13,4,22,5,0,0,0,0,0
137,40,14,4,22,5,0,0,0,0,0
138,41,15,4,22,5,0,0,0,0,0
139,41,15,4,23,5,0,0,0,0,0
140,41,16,4,23,5,0,0,0,0,0
142,42,16,4,23,5,0,0,0,0,0
144,42,16,4,25,5,0,0,0,0,0
145,44,16,5,25,5,0,0,0,0,0
146,45,16,5,25,5,0,0,0,0,0
147,46,16,5,25,5,0,0,0,0,0
148,47,17,5,25,5,0,0,0,0,0
151,48,18,5,26,6,0,0,0,0,0
152,49,18,5,26,6,0,0,0,0,0
155,49,18,5,27,6,0,0,0,0,0
157,50,18,5,28,6,0,0,0,0,0
162,50,19,5,28,5,0,0,0,0,0
163,50,20,5,28,5,0,0,0,0,0
165,50,20,5,29,5,0,0,0,0,0
170,50,20,6,30,5,0,0,0,0,0
171,50,21,6,30,5,0,0,0,0,0
172,50,21,6,30,6,0,0,0,0,0
174,51,21,6,30,7,0,0,0,0,0
178,52,21,6,30,7,0,0,0,0,0
179,53,23,6,30,7,0,0,0,0,0
180,53,23,6,31,8,0,0,0,0,0
181,54,23,6,31,8,0,0,0,0,0
187,54,23,6,32,8,0,0,0,0,0
191,55,24,6,33,8,0,0,0,0,0
194,55,24,6,33,7,0,0,0,0,0
195,55,25,6,34,7,0,0,0,0,0
196,55,26,6,34,7,0,0,0,0,0
197,56,26,6,34,8,0,0,0,0,0
201,56,26,6,35,8,0,0,0,0,0
203,56,27,6,35,8,0,0,0,0,0
207,57,27,6,35,8,0,0,0,0,0
209,57,28,6,35,8,0,0,0,0,0
210,57,28,6,35,8,1,0,0,0,0
211,57,28,6,35,8,1,1,0,0,0
214,57,28,6,35,8,3,1,0,0,0
216,57,28,6,35,8,3,2,0,0,0
217,57,27,6,36,9,3,3,1,0,0
218,57,28,6,36,9,3,3,1,0,0
219,57,28,6,36,9,4,3,1,0,0
221,57,27,6,36,10,4,3,1,0,0
223,58,27,6,37,9,4,3,1,0,0
224,58,26,6,37,9,4,3,1,0,0
225,58,26,6,37,8,4,3,1,0,0
