Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
3,1,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,0,0,0,0
15,6,1,0,0,0,0,0,0,0,0
16,6,2,0,0,0,0,0,0,0,0
19,6,3,0,0,1,0,0,0,0,0
20,6,4,0,0,1,0,0,0,0,0
22,7,4,0,0,1,0,0,0,0,0
24,8,4,0,1,1,0,0,0,0,0
26,9,4,0,1,1,0,0,0,0,0
28,9,4,0,2,1,0,0,0,0,0
29,9,4,1,2,1,0,0,0,0,0
32,9,4,1,3,2,0,0,0,0,0
33,10,5,1,3,2,0,0,0,0,0
35,10,6,1,3,2,0,0,0,0,0
36,10,7,1,3,2,0,0,0,0,0
38,10,8,1,3,2,0,0,0,0,0
39,11,8,1,4,3,0,0,0,0,0
43,12,8,1,4,3,0,0,0,0,0
44,12,8,1,5,3,0,0,0,0,0
46,12,8,2,6,3,0,0,0,0,0
47,13,8,2,6,3,0,0,0,0,0
48,13,8,2,7,3,0,0,0,0,0
49,14,8,2,7,4,0,0,0,0,0
50,14,8,2,8,4,0,0,0,0,0
51,14,8,3,8,4,0,0,0,0,0
53,14,8,4,8,4,0,0,0,0,0
55,14,9,4,9,4,0,0,0,0,0
56,14,10,4,9,4,0,0,0,0,0
58,14,10,4,9,5,0,0,0,0,0
61,14,10,4,10,5,0,0,0,0,0
65,14,11,4,10,5,0,0,0,0,0
72,15,11,4,10,5,0,0,0,0,0
74,17,11,4,10,5,0,0,0,0,0
76,17,11,4,11,5,0,0,0,0,0
83,17,11,4,12,6,0,0,0,0,0
84,17,12,4,12,7,0,0,0,0,0
85,17,12,4,13,7,0,0,0,0,0
86,17,13,4,13,7,0,0,0,0,0
89,17,15,4,13,7,0,0,0,0,0
91,18,15,4,13,7,0,0,0,0,0
92,19,15,4,13,8,0,0,0,0,0
93,20,15,4,13,8,0,0,0,0,0
97,20,15,4,14,8,0,0,0,0,0
98,21,15,4,14,8,0,0,0,0,0
100,21,16,4,14,9,0,0,0,0,0
101,22,17,4,15,9,0,0,0,0,0
104,22,17,4,15,10,0,0,0,0,0
106,23,17,4,16,11,0,0,0,0,0
109,23,17,4,17,11,0,0,0,0,0
110,24,17,4,17,11,0,0,0,0,0
112,25,17,4,17,11,0,0,0,0,0
117,25,17,4,17,12,0,0,0,0,0
119,26,17,4,17,12,0,0,0,0,0
120,26,19,4,17,12,0,0,0,0,0
122,26,20,4,17,12,0,0,0,0,0
124,26,20,4,18,12,0,0,0,0,0
127,27,21,4,18,12,0,0,0,0,0
129,28,21,4,18,12,0,0,0,0,0
130,28,21,5,18,12,0,0,0,0,0
133,30,21,5,18,12,0,0,0,0,0
137,30,21,5,19,12,0,0,0,0,0
139,31,21,5,19,12,0,0,0,0,0
140,31,22,5,20,12,0,0,0,0,0
141,31,22,5,21,12,0,0,0,0,0
145,31,22,5,21,13,0,0,0,0,0
149,31,22,5,22,13,0,0,0,0,0
150,32,22,5,22,13,0,0,0,0,0
152,32,22,5,23,13,0,0,0,0,0
153,33,22,5,23,13,0,0,0,0,0
155,34,22,5,23,13,0,0,0,0,0
156,35,22,5,23,13,0,0,0,0,0
160,35,22,5,24,13,0,0,0,0,0
162,37,23,5,24,13,0,0,0,0,0
164,37,25,5,24,13,0,0,0,0,0
167,37,25,5,25,13,0,0,0,0,0
168,38,25,6,25,13,0,0,0,0,0
171,39,26,6,26,13,0,0,0,0,0
173,39,27,6,26,13,0,0,0,0,0
176,40,27,6,26,13,0,0,0,0,0
177,41,27,6,26,13,0,0,0,0,0
178,41,29,6,26,13,0,0,0,0,0
182,41,29,6,26,12,0,0,0,0,0
184,41,29,6,26,11,0,0,0,0,0
186,41,30,6,26,11,0,0,0,0,0
188,41,31,6,26,11,0,0,0,0,0
192,41,31,6,27,11,0,0,0,0,0
193,41,31,6,29,11,0,0,0,0,0
194,42,31,6,29,11,0,0,0,0,0
199,42,32,6,29,11,0,0,0,0,0
200,42,32,6,30,11,0,0,0,0,0
203,43,31,7,31,11,0,0,0,0,0
204,44,31,7,31,11,0,0,0,0,0
205,44,31,7,31,10,0,0,0,0,0
206,44,31,7,31,9,0,0,0,0,0
213,45,31,7,31,8,0,0,0,0,0
216,45,31,7,31,9,0,0,0,0,0
217,45,30,7,31,9,0,0,0,0,0
222,45,30,7,32,8,0,0,0,0,0
223,45,29,7,32,8,0,0,0,0,0
226,46,29,7,32,8,0,0,0,0,0
227,46,28,7,32,8,0,0,0,0,0
228,47,29,8,32,8,0,0,0,0,0
231,47,29,8,33,8,0,0,0,0,0
232,47,29,8,33,7,0,0,0,0,0
234,48,29,8,33,7,0,0,0,0,0
236,49,29,9,33,7,0,0,0,0,0
237,49,29,9,34,6,1,0,0,0,0
238,49,29,9,34,6,2,0,0,0,0
239,49,29,9,34,7,3,0,0,0,0
241,49,29,9,34,7,4,1,0,0,0
242,49,28,9,34,7,4,1,0,0,0
243,49,29,9,34,7,4,1,0,0,0
245,49,28,9,34,7,4,1,0,0,0
248,49,28,9,34,6,4,1,0,0,0
249,50,28,9,34,6,4,1,0,0,0
250,50,27,9,34,6,4,2,0,0,0
253,50,26,9,34,6,4,2,0,0,0
254,50,26,9,34,5,4,2,0,0,0
256,50,26,9,34,4,4,2,0,0,0
258,50,26,8,34,4,4,2,0,0,0
259,50,27,8,34,4,4,2,0,0,0
260,50,27,8,35,4,4,2,0,0,0
263,50,25,8,35,4,4,2,0,0,0
266,50,24,8,35,3,4,2,0,0,0
269,50,25,8,35,3,4,2,0,0,0
270,50,25,8,36,3,4,2,0,0,0
273,50,24,8,36,3,4,2,0,0,0
274,50,24,8,37,3,4,2,0,0,0
279,50,26,8,37,3,4,2,0,0,0
281,50,27,9,38,3,4,2,0,0,0
282,50,27,9,40,3,4,2,0,0,0
283,50,26,9,40,3,4,2,0,0,0
284,50,28,8,40,3,4,2,0,0,0
286,50,29,8,40,3,4,2,0,0,0
287,50,30,8,40,3,4,2,0,0,0
288,50,30,8,41,3,4,3,0,0,0
290,50,30,8,42,3,4,5,0,0,0
293,50,29,8,43,3,4,5,1,0,0
294,50,30,8,43,3,4,5,1,0,0
295,50,30,8,43,3,4,6,1,0,0
296,50,29,8,43,3,4,6,1,0,0
297,50,30,8,43,3,4,6,1,0,0
300,50,29,8,43,3,4,6,1,0,0
301,50,28,8,43,3,4,6,1,0,0
302,50,28,8,42,3,4,6,1,0,0
303,50,28,9,42,3,4,6,1,0,0
308,50,28,9,42,4,4,6,1,0,0
309,50,28,9,42,4,4,6,1,0,0
314,49,28,9,42,5,4,6,1,0,0
318,49,27,9,42,5,4,6,1,0,0
320,48,27,9,42,5,4,6,1,0,0
321,48,27,10,42,5,4,6,1,0,0
322,48,27,9,43,5,4,6,1,0,0
323,48,27,9,42,5,4,6,1,0,0
324,48,26,9,43,5,4,6,1,0,0
326,48,26,9,42,5,4,6,1,0,0
327,48,26,8,42,5,4,6,1,0,0
329,48,26,8,42,5,4,6,1,0,0
330,48,26,8,42,6,4,6,1,0,0
333,47,26,8,42,6,4,6,1,0,0
336,47,25,8,43,6,4,6,1,0,0
337,46,25,8,43,6,4,6,1,0,0
340,46,25,8,43,6,4,6,1,0,0
343,46,25,8,44,6,4,6,1,0,0
344,45,24,8,44,6,4,6,1,0,0
346,44,24,8,44,6,4,6,1,0,0
349,44,24,8,44,6,4,6,1,0,0
350,44,24,8,43,6,4,6,1,0,0
351,42,24,8,43,6,4,6,1,0,0
352,42,23,8,43,6,4,6,1,0,0
356,41,23,8,43,6,4,6,1,0,0
357,40,23,8,43,6,4,6,1,0,0
359,40,23,8,43,5,4,6,1,0,0
360,39,22,8,43,5,4,6,1,0,0
361,38,22,8,43,5,4,6,1,0,0
367,38,22,8,42,5,4,6,1,0,0
373,37,22,8,41,5,4,6,1,0,0
378,36,22,7,41,5,4,6,1,0,0
379,36,22,7,40,5,4,6,1,0,0
380,35,22,7,40,5,4,6,1,0,0
381,35,21,7,40,5,4,6,1,0,0
382,34,21,7,39,5,4,6,1,0,0
384,34,21,7,38,5,4,6,1,0,0
386,34,18,7,38,5,4,6,1,0,0
389,34,17,7,38,5,4,6,1,0,0
390,34,17,7,37,5,4,6,1,0,0
393,34,16,7,37,5,4,6,1,0,0
395,34,15,7,37,5,4,6,1,0,0
397,33,15,7,37,5,4,6,1,0,0
398,33,14,7,37,5,4,6,1,0,0
