Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
3,1,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0
12,4,1,0,0,0,0,0,0,0,0
15,6,1,0,0,0,0,0,0,0,0
16,6,2,0,0,0,0,0,0,0,0
19,6,3,0,0,1,0,0,0,0,0
20,6,4,0,0,1,0,0,0,0,0
22,7,4,0,0,1,0,0,0,0,0
24,8,4,0,1,1,0,0,0,0,0
26,9,4,0,1,1,0,0,0,0,0
28,9,4,0,2,1,0,0,0,0,0
29,9,4,1,2,1,0,0,0,0,0
32,9,4,1,3,2,0,0,0,0,0
33,10,5,1,3,2,0,0,0,0,0
35,10,6,1,3,2,0,0,0,0,0
36,10,7,1,3,2,0,0,0,0,0
38,10,8,1,3,2,0,0,0,0,0
39,11,8,1,4,3,0,0,0,0,0
43,12,8,1,4,3,0,0,0,0,0
44,12,8,1,5,3,0,0,0,0,0
46,12,8,2,6,3,0,0,0,0,0
47,13,8,2,6,3,0,0,0,0,0
48,13,8,2,7,3,0,0,0,0,0
49,14,8,2,7,4,0,0,0,0,0
50,14,8,2,8,4,0,0,0,0,0
51,14,8,3,8,4,0,0,0,0,0
53,14,8,4,8,4,0,0,0,0,0
55,14,9,4,9,4,0,0,0,0,0
56,14,10,4,9,4,0,0,0,0,0
58,14,10,4,9,5,0,0,0,0,0
61,14,10,4,10,5,0,0,0,0,0
65,14,11,4,10,5,0,0,0,0,0
72,15,11,4,10,5,0,0,0,0,0
74,17,11,4,10,5,0,0,0,0,0
76,17,11,4,11,5,0,0,0,0,0
83,17,11,4,12,6,0,0,0,0,0
84,17,12,4,12,7,0,0,0,0,0
85,17,12,4,13,7,0,0,0,0,0
86,17,13,4,13,7,0,0,0,0,0
89,17,15,4,13,7,0,0,0,0,0
91,18,15,4,13,7,0,0,0,0,0
92,19,15,4,13,8,0,0,0,0,0
93,20,15,4,13,8,0,0,0,0,0
97,20,15,4,14,8,0,0,0,0,0
98,21,15,4,14,8,0,0,0,0,0
100,21,16,4,14,9,0,0,0,0,0
101,22,17,4,15,9,0,0,0,0,0
104,22,17,4,15,10,0,0,0,0,0
106,23,17,4,16,10,0,0,0,0,1
109,23,17,4,17,10,0,0,0,0,1
110,24,17,4,17,10,0,0,0,0,1
112,25,17,4,17,10,0,0,0,0,1
117,25,17,4,17,10,0,0,0,0,2
119,26,17,4,17,10,0,0,0,0,2
120,26,19,4,17,10,0,0,0,0,2
122,26,20,4,17,10,0,0,0,0,2
124,26,20,4,18,10,0,0,0,0,2
127,27,21,4,18,10,0,0,0,0,2
129,28,21,4,18,10,0,0,0,0,2
130,28,21,5,18,10,0,0,0,0,2
133,30,21,5,18,10,0,0,0,0,2
137,30,21,5,19,10,0,0,0,0,2
139,31,21,5,19,10,0,0,0,0,2
140,31,22,5,20,10,0,0,0,0,2
141,31,22,5,21,10,0,0,0,0,2
145,31,22,5,21,10,0,0,0,0,3
149,31,22,5,22,10,0,0,0,0,3
150,32,22,5,22,10,0,0,0,0,3
152,32,22,5,23,10,0,0,0,0,3
153,33,22,5,23,10,0,0,0,0,3
155,34,22,5,23,10,0,0,0,0,3
156,35,22,5,23,10,0,0,0,0,3
160,35,22,5,24,10,0,0,0,0,3
162,37,23,5,24,10,0,0,0,0,3
164,37,25,5,24,10,0,0,0,0,3
167,37,25,5,25,10,0,0,0,0,3
168,38,25,5,25,10,0,0,1,0,3
171,39,26,5,26,10,0,0,1,0,3
173,39,27,5,26,10,0,0,1,0,3
176,40,27,5,26,10,0,0,1,0,3
177,41,27,5,26,10,0,0,1,0,3
178,41,29,5,26,10,0,0,1,0,3
182,41,29,5,26,9,0,0,1,0,3
184,41,29,5,26,8,0,0,1,0,3
186,41,30,5,26,8,0,0,1,0,3
188,41,31,5,26,8,0,0,1,0,3
192,41,31,5,27,8,0,0,1,0,3
193,41,31,5,29,8,0,0,1,0,3
194,42,31,5,29,8,0,0,1,0,3
199,42,32,5,29,8,0,0,1,0,3
200,42,32,5,30,8,0,0,1,0,3
203,43,31,5,31,8,0,0,2,0,3
204,44,31,5,31,8,0,0,2,0,3
205,44,31,5,31,7,0,0,2,0,3
206,44,31,5,31,6,0,0,2,0,3
213,45,31,5,31,5,0,0,2,0,3
216,45,31,5,31,6,0,0,2,0,3
217,45,30,5,31,6,0,0,2,0,3
222,45,30,5,32,5,0,0,2,0,3
223,45,29,5,32,5,0,0,2,0,3
226,46,29,5,32,5,0,0,2,0,3
227,46,28,5,32,5,0,0,2,0,3
228,47,29,5,32,5,0,0,3,0,3
231,47,29,5,33,5,0,0,3,0,3
232,47,29,5,33,4,0,0,3,0,3
234,48,29,5,33,4,0,0,3,0,3
236,49,29,5,33,4,0,0,4,0,3
237,50,29,5,34,3,0,0,4,0,3
238,50,29,5,34,3,1,0,4,0,3
239,50,29,5,34,4,2,0,4,0,3
241,50,30,5,34,4,3,0,4,0,3
242,50,29,5,34,4,3,0,4,0,3
243,50,30,5,34,4,3,0,4,0,3
245,50,29,5,34,4,3,0,4,0,3
248,50,29,5,34,3,3,0,4,0,3
249,50,29,5,34,3,4,0,4,0,3
250,50,29,5,34,3,4,0,4,0,3
253,50,28,5,34,3,4,0,4,0,3
254,50,28,5,34,2,4,0,4,0,3
256,50,28,5,34,2,4,0,4,0,3
258,50,28,4,34,2,4,0,4,0,3
259,50,29,4,34,2,4,0,4,0,3
260,50,29,4,35,2,4,0,4,0,3
263,50,27,4,35,2,4,0,4,0,3
266,50,26,4,35,2,4,0,4,0,3
269,50,27,4,35,2,4,0,4,0,3
270,50,27,4,36,2,4,0,4,0,3
273,50,26,4,36,2,4,0,4,0,3
274,50,26,4,37,2,4,0,4,0,3
279,50,28,4,37,2,4,0,4,0,3
281,50,29,5,38,2,4,0,4,0,3
282,50,29,5,40,2,4,0,4,0,3
283,50,28,5,40,2,4,0,4,0,3
284,50,30,4,40,2,4,0,4,0,3
286,50,31,4,40,2,4,0,4,0,3
287,50,32,4,40,2,4,0,4,0,3
288,50,33,4,40,2,4,0,4,1,3
290,50,35,4,40,2,4,0,4,2,3
293,50,34,5,40,2,4,0,4,3,3
294,50,35,5,40,2,4,0,4,3,3
295,50,35,5,40,2,4,1,4,3,3
296,50,34,5,40,2,4,1,4,3,3
297,50,35,5,40,2,4,1,4,3,3
300,50,34,5,40,2,4,1,4,3,3
301,50,33,5,40,2,4,1,4,3,3
302,50,33,5,39,2,4,1,4,3,3
303,50,33,5,39,2,4,1,5,3,3
308,50,33,5,39,3,4,1,5,3,3
309,50,33,5,39,4,4,1,5,3,3
314,49,33,5,39,5,4,1,5,3,3
318,49,32,5,39,5,4,1,5,3,3
320,48,32,5,39,5,4,1,5,3,3
321,48,32,5,39,5,4,1,6,3,3
322,48,32,4,40,5,4,1,6,3,3
323,48,32,4,39,5,4,1,6,3,3
324,48,31,4,40,5,4,1,6,3,3
326,48,31,4,39,5,4,1,6,3,3
327,48,31,3,39,5,4,1,6,3,3
329,48,31,3,39,5,4,1,6,3,3
330,48,31,3,39,6,4,1,6,3,3
333,47,31,3,39,6,4,1,6,3,3
336,47,30,3,39,6,4,1,6,4,3
337,46,30,3,39,6,4,1,6,4,3
340,46,30,3,39,6,4,1,6,4,3
343,46,30,3,40,6,4,1,6,4,3
344,45,29,3,40,6,4,1,6,4,3
346,44,29,3,40,6,4,1,6,4,3
349,44,29,3,39,6,4,1,6,5,3
350,44,29,3,38,6,4,1,6,5,3
351,42,29,3,38,6,4,1,6,5,3
352,42,28,3,38,6,4,1,6,5,3
356,41,28,3,38,6,4,1,6,5,3
357,40,28,3,38,6,4,1,6,5,3
359,40,28,3,38,5,4,1,6,5,3
360,39,27,3,38,5,4,1,6,5,3
361,38,27,3,38,5,4,1,6,5,3
367,38,27,3,37,5,4,1,6,5,3
373,37,27,3,36,5,4,1,6,5,3
378,36,27,2,36,5,4,1,6,5,3
379,36,27,2,35,5,4,1,6,5,3
380,35,27,2,35,5,4,1,6,5,3
381,35,26,2,35,5,4,1,6,5,3
382,34,26,2,34,5,4,1,6,5,3
384,34,26,2,33,5,4,1,6,5,3
386,34,23,2,33,5,4,1,6,5,3
389,34,22,2,33,5,4,1,6,5,3
390,34,22,2,32,5,4,1,6,5,3
393,34,21,2,32,5,4,1,6,5,3
395,34,20,2,32,5,4,1,6,5,3
397,33,20,2,32,5,4,1,6,5,3
398,33,19,2,32,5,4,1,6,5,3
