Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
6,1,0,0,0,0,0,0,0,0,0
8,1,0,0,1,0,0,0,0,0,0
9,1,0,0,1,1,0,0,0,0,0
10,1,1,0,2,1,0,0,0,0,0
16,2,1,0,3,1,0,0,0,0,0
17,2,2,0,3,1,0,0,0,0,0
18,2,3,0,3,2,0,0,0,0,0
19,4,3,0,3,2,0,0,0,0,0
22,5,3,0,3,2,0,0,0,0,0
23,5,3,0,4,2,0,0,0,0,0
26,5,4,0,4,2,0,0,0,0,0
28,5,5,0,4,2,0,0,0,0,0
31,5,6,0,4,2,0,0,0,0,0
32,6,7,0,4,2,0,0,0,0,0
43,7,8,0,4,2,0,0,0,0,0
44,7,9,0,4,2,0,0,0,0,0
45,7,10,0,4,2,0,0,0,0,0
49,8,10,0,5,3,0,0,0,0,0
54,8,10,0,6,3,0,0,0,0,0
56,8,11,0,6,3,0,0,0,0,0
58,8,11,1,6,3,0,0,0,0,0
63,8,12,1,6,3,0,0,0,0,0
64,9,12,1,6,3,0,0,0,0,0
66,9,13,1,6,3,0,0,0,0,0
68,9,13,1,7,3,0,0,0,0,0
70,9,13,1,8,3,0,0,0,0,0
71,9,13,1,9,3,0,0,0,0,0
72,9,13,1,10,3,0,0,0,0,0
73,10,13,1,10,3,0,0,0,0,0
78,10,14,1,10,3,0,0,0,0,0
79,11,14,1,10,3,0,0,0,0,0
81,11,14,1,10,4,0,0,0,0,0
84,11,14,1,12,4,0,0,0,0,0
87,11,15,1,12,4,0,0,0,0,0
90,11,15,1,13,4,0,0,0,0,0
92,11,15,2,13,4,0,0,0,0,0
93,11,16,2,13,4,0,0,0,0,0
97,12,16,2,13,5,0,0,0,0,0
100,12,16,2,13,6,0,0,0,0,0
104,12,17,2,13,6,0,0,0,0,0
105,13,17,2,13,6,0,0,0,0,0
106,13,18,2,13,6,0,0,0,0,0
107,14,19,2,13,6,0,0,0,0,0
108,14,19,3,13,6,0,0,0,0,0
111,15,19,3,13,7,0,0,0,0,0
113,15,20,3,13,7,0,0,0,0,0
115,16,20,3,13,7,0,0,0,0,0
116,16,22,3,13,7,0,0,0,0,0
117,17,22,3,13,7,0,0,0,0,0
119,17,22,3,13,8,0,0,0,0,0
121,18,22,3,13,8,0,0,0,0,0
122,18,22,3,14,8,0,0,0,0,0
123,18,22,3,15,8,0,0,0,0,0
126,18,23,3,15,8,0,0,0,0,0
129,19,23,3,15,8,0,0,0,0,0
130,20,23,3,15,8,0,0,0,0,0
134,21,25,3,15,8,0,0,0,0,0
138,21,25,3,16,8,0,0,0,0,0
141,22,25,3,16,8,0,0,0,0,0
143,23,25,3,16,8,0,0,0,0,0
144,23,25,3,17,8,0,0,0,0,0
147,24,25,3,17,9,0,0,0,0,0
149,25,26,3,17,9,0,0,0,0,0
152,26,26,3,17,9,0,0,0,0,0
153,27,26,3,17,9,0,0,0,0,0
154,29,27,3,17,9,0,0,0,0,0
155,31,27,3,17,8,0,0,0,0,0
157,32,28,3,17,8,0,0,0,0,0
158,32,28,3,18,8,0,0,0,0,0
159,33,28,3,18,8,0,0,0,0,0
161,33,28,3,19,8,0,0,0,0,0
164,33,28,3,19,7,0,0,0,0,0
166,34,28,3,19,7,0,0,0,0,0
168,36,28,3,19,7,0,0,0,0,0
169,37,28,3,19,7,0,0,0,0,0
170,38,28,3,19,7,0,0,0,0,0
183,38,29,3,19,7,0,0,0,0,0
186,38,30,3,19,7,0,0,0,0,0
187,38,30,3,19,6,0,0,0,0,0
190,38,31,3,19,6,0,0,0,0,0
191,38,32,3,19,7,0,0,0,0,0
192,38,33,3,19,7,0,0,0,0,0
194,38,33,3,20,8,0,0,0,0,0
195,39,33,3,20,8,0,0,0,0,0
196,39,34,3,20,8,0,0,0,0,0
197,39,35,3,20,8,0,0,0,0,0
199,39,36,3,20,8,0,0,0,0,0
200,39,36,3,21,8,0,0,0,0,0
204,39,36,3,21,8,0,0,0,0,0
205,39,37,3,21,8,0,0,0,0,0
207,40,37,3,21,8,0,0,0,0,0
212,40,38,3,21,8,0,0,0,0,0
213,41,38,3,21,8,0,0,0,0,0
215,42,39,3,21,8,0,0,0,0,0
216,42,40,3,21,8,0,0,0,0,0
218,42,41,3,21,8,0,0,0,0,0
219,42,41,4,22,8,0,0,0,0,0
222,42,41,4,23,8,0,0,0,0,0
223,42,40,4,23,8,0,0,0,0,0
224,42,40,4,23,7,0,0,0,0,0
226,43,41,4,23,7,0,0,0,0,0
228,44,41,4,23,7,0,0,0,0,0
229,44,40,4,23,7,0,0,0,0,0
230,45,38,5,23,7,0,0,0,0,0
232,45,37,5,23,7,0,0,0,0,0
233,45,37,5,24,7,0,0,0,0,0
236,45,37,5,24,7,0,0,0,0,0
237,45,38,5,24,7,0,0,0,0,0
238,45,37,5,24,7,0,0,0,0,0
239,45,37,5,24,8,0,0,0,0,0
240,45,37,5,25,8,0,0,0,0,0
241,45,38,5,25,8,0,0,0,0,0
242,45,39,5,26,8,0,0,0,0,0
245,45,39,6,26,8,0,0,0,0,0
246,45,39,6,27,8,0,0,0,0,0
248,45,38,6,27,8,1,0,0,0,0
249,45,38,6,27,8,1,0,1,0,0
251,45,38,6,28,8,1,0,1,0,0
254,45,39,6,28,8,1,0,1,0,0
255,45,39,6,28,8,1,2,1,0,0
257,45,39,6,28,9,1,2,1,0,0
258,45,39,6,28,8,1,2,1,0,0
259,45,39,6,28,8,1,3,1,0,0
260,45,38,6,28,8,1,3,1,0,0
262,45,37,6,28,8,1,3,1,0,0
263,45,37,6,28,9,1,3,1,0,0
264,45,38,6,28,9,1,3,1,0,0
266,45,37,6,28,9,1,3,1,0,0
268,45,36,6,28,9,1,3,1,0,0
271,45,36,6,28,8,1,3,1,0,0
272,45,35,6,28,7,1,3,1,0,0
273,45,34,6,28,7,1,3,1,0,0
277,45,34,6,29,7,1,3,1,0,0
278,45,33,6,29,7,1,3,1,0,0
279,45,33,6,29,8,1,3,1,0,0
280,45,35,6,29,8,1,3,1,0,0
282,45,34,6,29,8,1,3,1,0,0
284,45,35,6,29,8,1,3,1,0,0
288,45,35,6,28,8,1,3,1,0,0
289,45,35,6,29,8,1,3,1,0,0
290,45,35,6,29,7,1,3,1,0,0
293,45,35,6,30,7,1,3,1,0,0
295,45,37,6,30,8,1,3,1,0,0
297,45,37,6,31,8,1,3,1,0,0
301,45,37,6,32,8,1,3,1,0,0
303,45,37,6,33,8,1,3,1,0,0
304,45,37,6,34,8,1,3,1,0,0
306,45,36,6,34,8,1,3,1,0,0
308,45,35,6,34,8,1,3,1,0,0
309,45,35,6,35,8,1,3,1,0,0
314,45,34,6,35,8,1,3,1,0,0
316,45,34,6,35,8,1,3,1,0,0
318,45,33,6,35,8,1,3,1,0,0
319,45,33,6,34,8,1,3,1,0,0
320,45,33,6,35,8,1,3,1,0,0
322,44,33,5,35,8,1,3,1,0,0
323,43,33,5,35,8,1,3,1,0,0
324,42,32,5,35,8,1,3,1,0,0
326,41,32,5,35,8,1,3,1,0,0
328,41,31,5,36,8,1,3,1,0,0
329,40,31,5,36,8,1,3,1,0,0
331,40,31,5,36,7,1,3,1,0,0
