Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
1,0,0,0,1,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0,0,0
7,0,1,0,2,0,0,0,0,0,0
10,0,2,0,2,0,0,0,0,0,0
11,0,3,0,2,0,0,0,0,0,0
15,0,4,0,2,0,0,0,0,0,0
24,0,5,0,3,0,0,0,0,0,0
29,1,5,0,3,0,0,0,0,0,0
31,2,5,1,3,0,0,0,0,0,0
35,3,5,1,3,0,0,0,0,0,0
36,4,5,1,3,0,0,0,0,0,0
37,4,6,1,3,0,0,0,0,0,0
40,4,7,1,3,0,0,0,0,0,0
41,4,8,1,3,0,0,0,0,0,0
42,4,9,2,3,0,0,0,0,0,0
44,5,9,2,3,0,0,0,0,0,0
45,5,10,2,3,0,0,0,0,0,0
47,6,10,2,3,0,0,0,0,0,0
50,6,11,2,3,0,0,0,0,0,0
53,6,12,2,3,0,0,0,0,0,0
59,6,12,2,4,0,0,0,0,0,0
60,7,14,2,4,0,0,0,0,0,0
61,8,14,2,4,0,0,0,0,0,0
63,8,14,2,5,0,0,0,0,0,0
66,8,15,2,6,0,0,0,0,0,0
69,8,17,2,6,0,0,0,0,0,0
72,8,17,2,7,0,0,0,0,0,0
75,8,17,2,7,1,0,0,0,0,0
77,8,17,3,7,1,0,0,0,0,0
78,8,18,3,7,1,0,0,0,0,0
80,8,19,3,7,1,0,0,0,0,0
81,8,19,3,9,1,0,0,0,0,0
82,9,19,3,9,1,0,0,0,0,0
83,9,19,3,10,1,0,0,0,0,0
84,9,20,4,10,1,0,0,0,0,0
85,10,20,4,10,1,0,0,0,0,0
86,10,21,4,10,1,0,0,0,0,0
87,10,21,5,11,1,0,0,0,0,0
88,11,22,5,11,1,0,0,0,0,0
89,11,23,5,12,1,0,0,0,0,0
90,12,23,5,12,2,0,0,0,0,0
91,12,23,5,12,3,0,0,0,0,0
93,13,23,5,12,3,0,0,0,0,0
94,13,24,5,12,3,0,0,0,0,0
96,14,24,5,12,3,0,0,0,0,0
101,14,24,5,12,4,0,0,0,0,0
105,14,24,5,12,5,0,0,0,0,0
106,15,24,5,12,5,0,0,0,0,0
107,16,24,5,13,5,0,0,0,0,0
109,16,24,5,13,6,0,0,0,0,0
110,17,24,5,13,6,0,0,0,0,0
113,17,24,5,14,6,0,0,0,0,0
114,17,24,5,15,7,0,0,0,0,0
116,17,24,5,16,7,0,0,0,0,0
119,17,25,5,16,7,0,0,0,0,0
120,17,25,5,16,8,0,0,0,0,0
123,17,25,5,17,8,0,0,0,0,0
127,18,25,5,17,8,0,0,0,0,0
130,18,26,5,18,8,0,0,0,0,0
134,18,26,5,19,8,0,0,0,0,0
135,18,27,5,19,8,0,0,0,0,0
136,18,28,5,19,8,0,0,0,0,0
138,18,28,5,20,8,0,0,0,0,0
143,18,28,5,21,8,0,0,0,0,0
144,18,28,5,21,8,0,0,1,0,0
146,18,28,5,22,8,0,0,1,0,0
147,18,29,5,22,8,0,0,1,0,0
148,19,31,5,22,8,0,0,1,0,0
152,19,31,5,23,8,0,0,2,0,0
154,19,31,5,23,8,0,0,3,0,0
156,20,31,5,23,8,0,0,3,0,0
160,21,31,5,24,8,0,0,3,0,0
170,22,31,5,24,8,0,0,3,0,0
171,22,31,5,24,9,0,0,3,0,0
173,22,31,5,25,9,0,0,3,0,0
177,23,31,5,25,9,0,0,3,0,0
178,23,31,5,25,10,0,0,3,0,0
184,25,31,5,25,10,0,0,3,0,0
188,25,32,5,25,10,0,0,3,0,0
189,25,32,5,25,10,0,0,4,0,0
190,25,32,5,26,10,0,0,4,0,0
191,26,32,5,26,10,0,0,4,0,0
193,27,32,5,26,10,0,0,4,0,0
194,28,32,5,26,10,0,0,4,0,0
195,29,32,5,26,10,0,0,4,0,0
196,30,31,5,26,10,0,0,4,0,0
201,31,31,5,26,10,0,0,4,0,0
202,31,31,5,27,10,0,0,5,0,0
203,31,30,5,27,10,0,0,5,0,0
204,32,30,5,27,10,0,0,5,0,0
205,32,31,5,27,10,0,0,5,0,0
212,32,31,5,27,10,0,0,6,0,0
214,32,32,5,27,10,0,0,6,0,0
215,32,31,5,28,10,0,0,6,0,0
216,32,31,5,29,10,0,0,6,0,0
217,33,31,5,29,10,0,0,6,0,0
218,34,31,5,29,10,0,0,6,0,0
220,35,31,5,29,10,0,0,6,0,0
222,36,31,5,29,10,0,0,7,0,0
223,38,30,5,29,10,0,0,7,0,0
224,39,30,5,29,10,0,0,7,0,0
225,39,29,5,29,10,0,0,7,0,1
227,39,29,5,29,9,0,0,7,0,1
228,40,29,5,29,8,0,0,7,0,1
230,41,28,5,29,8,0,0,7,0,1
233,43,28,5,29,8,0,0,7,0,1
235,43,28,5,30,7,0,0,7,0,1
236,43,27,5,31,7,0,0,7,0,1
238,43,27,5,32,7,0,0,7,0,1
242,43,28,5,32,7,0,0,7,0,1
244,43,27,5,32,7,0,0,7,0,1
245,43,28,5,32,7,0,0,7,0,1
246,44,27,5,32,7,0,0,7,0,1
252,44,26,5,32,7,0,0,7,0,1
255,44,27,5,32,6,0,0,7,0,1
256,44,27,5,32,5,0,0,7,0,1
257,44,28,5,33,5,0,0,7,0,1
261,44,29,5,33,5,0,0,7,0,1
262,44,28,5,33,5,0,0,7,0,1
263,44,27,5,34,5,0,0,7,0,1
264,44,25,5,35,5,0,0,7,0,1
265,44,26,5,35,5,0,0,7,0,1
266,44,25,5,35,5,0,0,7,0,1
267,44,25,5,36,5,0,0,7,0,1
269,44,26,5,36,4,0,0,7,0,1
270,44,26,5,37,4,0,0,7,0,1
273,44,25,5,37,4,0,0,7,0,1
274,44,25,5,38,3,0,0,7,0,1
276,44,24,5,39,3,0,0,7,0,1
278,44,23,5,39,3,0,0,7,0,1
279,44,24,5,39,3,0,0,7,0,1
281,44,23,5,39,4,0,0,7,0,1
282,44,23,5,39,4,0,0,7,0,1
284,44,23,5,40,4,0,0,7,0,1
287,44,24,5,40,4,0,0,7,0,1
288,44,23,5,40,4,0,0,7,0,1
289,44,24,5,40,4,0,0,7,0,1
290,44,23,5,40,3,0,0,7,0,1
293,44,23,4,40,3,0,0,7,0,1
294,44,23,4,39,3,0,0,7,0,1
