Time,VID,LVD,FDO,VIP,SSH,RVID,RLVD,RFDO,RVIP,RSSH
6,0,0,0,1,0,0,0,0,0,0
7,0,1,0,1,0,0,0,0,0,0
9,0,1,0,3,0,0,0,0,0,0
10,0,2,0,4,1,0,0,0,0,0
13,0,3,0,4,1,0,0,0,0,0
14,0,3,0,6,1,0,0,0,0,0
23,0,3,0,8,1,0,0,0,0,0
24,0,3,0,9,1,0,0,0,0,0
26,1,3,0,9,1,0,0,0,0,0
29,1,3,0,11,1,0,0,0,0,0
30,1,4,0,11,1,0,0,0,0,0
39,1,4,0,12,1,0,0,0,0,0
40,1,4,0,13,1,0,0,0,0,0
42,1,5,0,13,1,0,0,0,0,0
43,1,5,0,14,1,0,0,0,0,0
44,2,5,0,14,1,0,0,0,0,0
45,2,5,0,15,1,0,0,0,0,0
46,3,5,0,15,1,0,0,0,0,0
51,3,5,0,16,1,0,0,0,0,0
55,3,5,0,16,2,0,0,0,0,0
57,3,6,0,16,2,0,0,0,0,0
58,4,6,0,16,2,0,0,0,0,0
59,4,6,0,17,2,0,0,0,0,0
60,4,6,0,18,3,0,0,0,0,0
62,5,6,0,18,3,0,0,0,0,0
63,5,6,0,18,4,0,0,0,0,0
68,5,6,0,19,4,0,0,0,0,0
69,6,6,0,19,4,0,0,0,0,0
72,7,6,0,19,4,0,0,0,0,0
74,7,6,0,20,4,0,0,0,0,0
77,8,6,0,20,4,0,0,0,0,0
78,8,6,1,21,4,0,0,0,0,0
85,9,6,1,21,4,0,0,0,0,0
89,10,6,1,21,4,0,0,0,0,0
90,10,7,1,22,4,0,0,0,0,0
91,12,7,1,22,4,0,0,0,0,0
93,13,7,1,22,4,0,0,0,0,0
95,14,7,1,22,4,0,0,0,0,0
96,14,8,1,22,4,0,0,0,0,0
98,16,8,1,22,4,0,0,0,0,0
100,16,8,1,22,5,0,0,0,0,0
102,17,8,1,22,5,0,0,0,0,0
106,18,8,2,23,5,0,0,0,0,0
107,18,8,2,24,5,0,0,0,0,0
110,18,8,2,25,5,0,0,0,0,0
112,18,8,3,25,5,0,0,0,0,0
113,19,8,3,25,5,0,0,0,0,0
117,19,8,3,26,5,0,0,0,0,0
118,19,10,4,27,5,0,0,0,0,0
120,20,10,4,27,5,0,0,0,0,0
122,20,12,4,27,5,0,0,0,0,0
123,20,13,4,27,6,0,0,0,0,0
124,20,13,4,27,7,0,0,0,0,0
126,20,13,4,27,8,0,0,0,0,0
131,20,13,4,28,8,0,0,0,0,0
133,21,13,4,29,8,0,0,0,0,0
136,22,13,4,30,8,0,0,0,0,0
142,22,14,4,30,8,0,0,0,0,0
144,22,14,5,30,8,0,0,0,0,0
148,22,15,5,30,8,0,0,0,0,0
150,22,15,5,31,8,0,0,0,0,0
152,23,15,5,31,8,0,0,0,0,0
159,23,16,5,31,8,0,0,0,0,0
161,23,16,5,31,7,0,0,0,0,0
163,23,17,5,31,7,0,0,0,0,0
166,24,17,5,31,7,0,0,0,0,0
167,24,18,5,32,8,0,0,0,0,0
168,24,18,5,33,8,0,0,0,0,0
169,25,18,5,33,8,0,0,0,0,0
173,26,19,5,33,8,0,0,0,0,0
174,27,19,5,33,8,0,0,0,0,0
176,27,19,5,34,8,0,0,0,0,0
179,30,19,5,35,8,0,0,0,0,0
180,30,20,6,35,8,0,0,0,0,0
183,31,20,6,35,8,0,0,0,0,0
184,31,20,6,35,9,0,0,0,0,0
186,31,21,6,37,9,0,0,0,0,0
187,33,21,6,37,9,0,0,0,0,0
188,33,21,6,39,9,0,0,0,0,0
191,34,21,6,39,9,0,0,0,0,0
192,34,21,6,40,10,0,0,0,0,0
193,35,21,6,40,10,0,0,0,0,0
194,35,21,7,40,10,0,0,0,0,0
196,35,22,7,40,9,0,0,0,0,0
199,35,22,7,41,9,0,0,0,0,0
200,35,23,7,41,9,0,0,0,0,0
201,35,23,7,41,7,0,0,0,0,0
203,35,24,7,41,7,0,0,0,0,0
204,35,23,7,41,7,0,0,0,0,0
206,35,22,7,41,7,0,0,0,0,0
208,36,22,7,41,7,0,0,0,0,0
210,36,21,7,42,7,0,0,0,0,0
212,37,22,7,42,8,0,0,0,0,0
216,39,22,7,42,8,0,0,0,0,0
218,39,21,7,43,8,0,0,0,0,0
219,39,21,7,44,8,0,0,0,0,0
220,40,21,7,45,8,0,0,0,0,0
222,40,21,7,45,9,0,0,0,0,0
231,41,21,7,45,9,0,0,0,0,0
232,41,21,7,46,9,0,0,0,0,0
233,41,21,7,47,9,0,0,0,0,0
236,42,21,7,47,9,0,0,0,0,0
240,42,21,7,48,9,0,0,0,0,0
241,43,21,7,48,9,0,0,0,0,0
242,44,21,7,49,9,0,0,0,0,0
244,45,21,7,49,11,0,0,0,0,0
245,45,21,7,49,12,0,0,0,0,0
247,45,20,7,49,12,0,0,0,0,0
249,45,20,8,49,12,0,0,0,0,0
250,46,19,8,49,12,0,0,0,0,0
251,46,19,8,50,12,0,0,0,0,0
253,46,19,8,52,12,0,0,0,0,0
254,46,19,8,52,11,0,0,0,0,0
255,46,21,8,53,11,0,0,0,0,0
260,46,21,8,54,11,0,0,0,0,0
261,46,22,8,55,11,0,0,0,0,0
262,46,22,9,55,11,0,0,0,0,0
265,46,22,9,56,11,0,0,0,0,0
267,46,23,9,56,11,0,0,0,0,0
268,46,24,9,56,11,0,0,0,0,0
271,46,25,9,56,12,0,0,0,0,0
272,46,26,9,56,12,0,0,0,0,0
273,46,27,9,56,12,0,0,0,0,0
280,46,27,9,57,12,0,0,0,0,0
282,46,27,10,57,11,0,0,0,0,0
284,46,28,10,57,10,0,0,0,0,0
285,46,28,10,58,10,0,0,0,0,0
289,46,27,10,58,10,0,0,0,0,0
292,46,27,10,57,9,0,0,0,0,0
299,46,27,10,56,9,0,0,0,0,0
300,46,28,10,58,9,0,0,0,0,0
302,46,28,10,57,9,0,0,0,0,0
303,46,28,10,58,9,0,0,0,0,0
304,46,27,10,58,9,0,0,0,0,0
306,46,27,10,58,9,0,0,0,0,0
307,46,27,10,59,8,0,0,0,0,0
312,46,26,9,59,8,0,0,0,0,0
313,46,26,9,60,8,0,0,0,0,0
314,46,26,9,61,8,0,0,0,0,0
315,46,25,9,60,8,0,0,0,0,0
317,46,25,9,60,9,0,0,0,0,0
320,46,25,9,61,9,0,0,0,0,0
321,46,25,9,59,9,0,0,0,0,0
323,46,24,9,60,9,0,0,0,0,0
324,46,23,9,60,9,0,0,0,0,0
325,46,23,9,59,9,0,0,0,0,0
326,46,23,9,59,8,0,0,0,0,0
327,46,23,9,59,9,0,0,0,0,0
330,46,23,9,58,9,0,0,0,0,0
331,46,23,9,58,9,0,0,0,0,0
333,46,23,9,60,9,0,0,0,0,0
335,46,22,9,60,9,0,0,0,0,0
336,46,22,9,58,9,0,0,0,0,0
337,46,21,9,57,9,0,0,0,0,0
338,46,21,9,58,9,0,0,0,0,0
341,46,21,8,59,9,0,0,0,0,0
343,45,21,8,59,9,0,0,0,0,0
344,44,21,8,59,9,0,0,0,0,0
346,44,21,8,60,9,0,0,0,0,0
347,44,21,7,60,8,0,0,0,0,0
349,44,20,7,59,8,0,0,0,0,0
350,44,20,7,59,9,0,0,0,0,0
351,44,20,7,57,9,0,0,0,0,0
358,43,20,7,57,8,0,0,0,0,0
364,43,19,7,56,8,0,0,0,0,0
366,43,19,6,56,8,0,0,0,0,0
369,43,19,6,55,8,0,0,0,0,0
373,43,19,6,54,8,0,0,0,0,0
377,43,18,6,53,8,0,0,0,0,0
378,43,16,6,53,8,0,0,0,0,0
380,42,15,6,53,8,0,0,0,0,0
383,42,14,6,53,8,0,0,0,0,0
384,41,14,6,52,8,0,0,0,0,0
386,41,14,6,51,8,0,0,0,0,0
388,40,14,6,51,8,0,0,0,0,0
391,39,14,5,51,8,0,0,0,0,0
392,39,14,5,51,7,0,0,0,0,0
