Time,VID,LVD,FDO,VIP,SSH
2,0,0,51108,48892,0
3,0,25247,26395,48358,0
5,16714,33709,18002,31573,0
8,12636,38330,13924,23417,11689
13,20404,31026,11490,27822,9255
17,27824,28244,10562,25040,8327
18,34007,25925,9789,22721,7554
19,30995,23666,18073,20462,6801
21,35976,22006,16966,18802,6248
24,35454,30245,14394,14943,4962
29,33438,34278,13722,13935,4626
30,35435,31212,12700,16536,4115
31,34057,30031,12306,19686,3918
35,37153,28704,11864,18580,3697
39,39979,27493,11460,17571,3495
40,41239,25583,10823,19175,3176
41,40017,24850,10579,18442,6109
44,40369,22859,14873,16451,5445
45,39336,22296,14592,15888,7887
47,38365,21766,14327,17918,7622
49,37078,24575,13976,17099,7271
51,35093,26642,13435,18098,6730
54,37158,25892,13153,17348,6448
55,35362,27782,12704,16151,7999
57,34714,27295,12542,15718,9729
61,32823,25877,16093,16265,8941
64,32280,25470,15912,17620,8715
65,34118,24880,15649,16964,8387
72,33103,24177,15337,16184,11196
73,32310,26253,15093,15573,10768
75,34022,25701,14872,15021,10382
79,32491,29529,14435,13927,9616
80,34492,27549,17218,12277,8461
81,35929,27042,17007,11855,8165
83,37311,26554,16804,11448,7881
87,36922,26295,16696,12355,7729
88,38252,25839,16506,11938,7463
89,38777,27025,16134,11119,6943
94,40832,25948,15720,11136,6363
95,39679,25267,18549,10507,5996
97,38978,26764,18358,10125,5773
98,41172,25977,18021,9450,5379
100,41641,25279,17721,10327,5030
102,42388,24784,17509,10534,4783
106,42123,24641,17448,11074,4711
108,41469,26024,17297,10671,4535
110,42216,25553,17109,10804,4315
111,41988,25426,17058,10661,4864
114,42728,24990,16884,10764,4632
117,41905,26185,16707,10803,4396
119,42845,25878,16592,10439,4243
120,41830,25318,19113,9774,3963
122,41256,26565,18974,9398,3805
127,40697,27780,18839,9031,3650
128,41587,27472,18719,8706,3513
131,41428,27377,18682,8606,3905
132,40885,28554,18555,8262,3742
135,41452,28066,18376,8592,3511
136,40294,30236,18114,8179,3175
137,40641,31020,17906,7524,2907
138,40523,30939,17880,7782,2874
139,40408,30860,17855,8034,2841
143,41232,30568,17762,7715,2722
145,39505,29417,22366,6459,2251
146,40287,29148,22256,6166,2141
147,40594,29896,22030,5563,1915
149,40953,30662,21830,5030,1524
152,40879,30612,21811,5188,1508
155,40806,30564,21793,5343,1492
159,40426,31574,21698,5068,1231
161,39989,32521,21589,4753,1146
162,40708,32246,21494,4478,1072
163,40648,32203,21479,4606,1061
167,41357,31936,21387,4329,989
168,42052,31674,21296,4057,918
170,41616,32591,21195,3755,840
172,41188,33491,21097,3459,763
173,40768,34374,21000,3168,688
174,41440,34104,20916,2916,623
175,41024,34968,20822,2635,550
176,40591,35798,20725,2343,542
177,40193,36634,20635,2074,462
178,39801,37456,20547,1810,384
182,39416,38264,20460,1550,307
184,39430,38275,20463,1559,271
186,39048,39067,20377,1301,204
187,38673,39845,20293,1048,138
188,38304,40611,20210,799,74
191,38304,40611,20210,799,74
192,38304,40611,20210,799,74
194,38673,39845,20293,1048,138
197,38666,39840,20292,1044,157
198,39295,39543,20217,851,91
200,39295,39543,20217,851,91
202,39299,39546,20218,854,80
206,39299,39546,20218,854,80
213,39674,38768,20301,1110,144
215,40306,38488,20229,886,88
216,40295,38479,20226,911,86
218,40291,38476,20225,908,98
219,40295,38479,20226,911,86
220,40291,38476,20225,908,98
221,40291,38476,20225,908,98
223,40669,37683,20306,1169,170
224,41687,36612,20317,1202,179
228,41299,37415,20236,941,107
233,41304,37419,20237,944,94
234,41680,36607,20315,1239,156
239,42291,36338,20242,1028,99
240,41903,37140,20163,755,37
241,41903,37140,20163,755,37
244,41903,37140,20163,755,37
246,41903,37140,20163,755,37
247,42279,36329,20240,1052,97
250,42268,36321,20237,1077,95
