Time,VID,LVD,FDO,VIP,SSH
1,100000,0,0,0,0
3,45945,0,54054,0,0
5,55989,0,43912,0,98
6,67951,0,31977,0,71
13,67719,0,31867,341,71
14,62956,12035,24688,264,55
15,56192,21485,22036,236,49
17,59944,19645,20149,215,44
20,63103,18095,18559,198,41
21,57867,24891,17019,182,37
22,60709,23212,15871,170,35
28,63192,21745,14868,159,33
29,58921,27034,13863,148,30
31,61121,25494,13074,280,29
37,63168,24152,12385,265,27
40,63084,24120,12369,397,27
43,63001,24088,12353,529,27
44,62917,24056,12336,660,27
46,64765,22858,11722,627,26
47,64684,22829,11707,752,26
48,66357,21747,11152,716,24
50,67880,20763,10647,684,23
53,69270,19864,10186,654,22
54,70546,19040,9764,627,21
55,70472,19020,9753,731,21
56,71647,18263,9365,702,20
58,71632,18259,9363,702,41
59,71561,18241,9354,801,41
60,72648,17543,8996,771,40
62,72578,17526,8988,866,40
63,69518,20984,8609,830,57
64,70594,20243,8305,800,55
66,71596,19553,8022,773,53
68,71535,19536,8015,858,53
69,72473,18893,7751,830,51
70,72412,18877,7744,912,51
71,72352,18862,7738,994,51
74,70652,21141,7227,929,48
80,71527,20511,7012,901,46
81,71473,20496,7007,976,46
83,70794,21863,6406,892,42
84,68650,24229,6212,865,41
86,68605,24213,6208,931,41
88,69412,23591,6048,907,40
89,70907,22437,5753,862,38
91,67050,21216,10880,816,36
92,67011,21204,10874,873,36
93,67003,21201,10872,873,48
94,67748,20723,10627,853,47
95,68460,20265,10392,835,46
97,69142,19827,10167,817,45
99,69757,19397,9947,852,44
102,70383,18996,9741,835,43
103,69965,20063,9145,783,40
107,69931,20053,9141,832,40
109,69897,20044,9136,881,40
111,70470,19662,8962,864,40
116,68963,21379,8771,845,39
117,64740,22077,12351,794,36
120,65346,21697,12138,780,36
123,65932,21331,11933,767,35
124,65904,21322,11928,809,35
126,65876,21312,11923,851,35
131,64624,22808,11696,835,34
133,64597,22799,11691,876,34
134,62174,21943,15004,843,33
135,62149,21935,14998,883,33
136,61629,22974,14500,854,40
137,60558,24312,14249,839,39
138,60118,25229,13800,813,38
139,60096,25219,13795,849,38
140,59102,26456,13567,835,37
142,59683,26080,13374,823,37
144,59641,26061,13364,894,37
145,58843,24544,15733,842,35
146,59386,24220,15526,831,34
147,59915,23905,15323,820,34
148,59553,24708,14906,798,33
151,59187,25459,14506,808,38
152,59684,25149,14329,798,38
155,59665,25141,14325,828,38
157,60132,24831,14148,848,37
162,59318,25855,13957,837,31
163,58521,26851,13769,826,30
165,58504,26843,13765,855,30
170,56920,26116,16071,860,29
171,56187,27068,15864,849,29
172,56183,27067,15863,849,35
174,56667,26765,15686,840,40
178,57143,26470,15514,831,40
179,56207,27979,14972,802,38
180,56189,27970,14967,828,44
181,56649,27676,14810,819,44
187,56634,27669,14806,846,44
191,56398,28229,14476,853,43
194,56401,28230,14477,853,37
195,55731,29057,14305,868,37
196,55090,29872,14140,858,36
197,55533,29575,14000,850,41
201,55519,29567,13996,874,41
203,54895,30359,13839,864,41
207,55333,30064,13704,856,40
209,54723,30835,13553,847,40
210,54723,30835,13553,847,40
211,54723,30835,13553,847,40
214,54723,30835,13553,847,40
216,54723,30835,13553,847,40
217,55316,30055,13700,880,45
218,54707,30825,13549,871,45
219,54707,30825,13549,871,45
221,55313,30054,13700,880,50
223,55732,29759,13565,896,45
224,56353,28977,13716,906,45
225,56356,28978,13717,906,40
227,56776,28699,13585,897,40
230,57188,28426,13456,889,40
233,57188,28426,13456,889,40
234,57188,28426,13456,889,40
235,57188,28426,13456,889,40
236,57174,28419,13452,912,40
237,57174,28419,13452,912,40
241,58486,29071,11467,933,40
243,57839,29855,11341,923,40
245,58225,29561,11229,938,45
246,58211,29554,11226,962,45
247,58852,28773,11350,972,50
252,59510,27976,11477,983,51
259,58838,28766,11347,996,50
261,58194,29546,11223,986,50
262,58838,28766,11347,996,50
268,58835,28765,11347,996,55
270,59493,27968,11474,1008,56
275,59496,27969,11474,1008,51
276,58838,28766,11347,996,50
279,58823,28759,11344,1021,50
280,58820,28758,11344,1020,55
281,58806,28751,11341,1045,55
282,58166,29531,11218,1033,50
285,58152,29524,11215,1057,50
293,58152,29524,11215,1057,50
294,58152,29524,11215,1057,50
297,59437,27942,11463,1105,51
299,58766,28731,11333,1117,50
300,58124,29510,11210,1104,50
301,58121,29509,11209,1104,55
303,58121,29509,11209,1104,55
305,58763,28730,11333,1117,55
306,58362,29009,11443,1128,56
307,58362,29009,11443,1128,56
308,58348,29002,11440,1152,56
309,58362,29009,11443,1128,56
311,58348,29002,11440,1152,56
312,57953,29294,11556,1139,56
316,57950,29293,11555,1139,61
317,57771,29064,11924,1175,63
319,57339,29362,12046,1187,64
324,56898,29666,12170,1199,65
325,57581,28821,12316,1214,65
327,57584,28823,12317,1214,60
328,58284,27957,12467,1228,61
329,58998,27069,12620,1243,67
330,58245,25509,14950,1228,66
332,58961,24593,15134,1243,67
333,58964,24594,15135,1243,61
334,58948,24588,15131,1269,61
336,58503,24854,15295,1283,62
338,58049,25126,15462,1297,63
340,57584,25405,15633,1312,63
342,59125,26084,13376,1347,65
343,59142,26092,13380,1318,65
344,59145,26093,13381,1319,59
345,58675,26394,13535,1334,60
346,58692,26401,13539,1305,60
349,58710,26409,13543,1276,60
352,59513,25432,13728,1264,61
353,60320,24420,13914,1282,62
356,59863,24720,14085,1267,62
357,59881,24727,14089,1237,62
358,59885,24729,14090,1237,56
359,60719,23680,14286,1255,57
361,60240,23973,14463,1270,51
362,60259,23980,14468,1240,51
363,59764,24279,14648,1255,52
365,59783,24286,14652,1224,52
366,60146,23486,15055,1258,53
367,59629,23790,15250,1274,54
372,60549,22648,15485,1260,55
373,61968,23693,12960,1319,57
374,62962,22469,13168,1340,58
375,63989,21204,13383,1362,59
378,64012,21212,13388,1326,59
380,63493,21518,13581,1346,60
381,65725,22274,10544,1393,62
384,64117,23319,11038,1458,65
386,63552,23691,11215,1482,58
388,63577,23701,11219,1442,58
389,67351,23176,7923,1485,61
390,66792,23573,8059,1511,62
391,68131,22042,8220,1541,64
393,68137,22044,8221,1541,55
394,67570,22436,8367,1568,56
398,66983,22842,8519,1597,57
