Time,VID,LVD,FDO,VIP,SSH
1,21523,19619,19619,19619,19619
3,21075,19171,21411,19171,19171
5,21835,18979,21219,18979,18984
6,23359,18599,20839,18599,18604
13,23354,18594,20834,18618,18599
14,23897,19277,20425,18209,18190
15,23679,20151,20207,17991,17972
17,24440,19960,20016,17800,17781
20,25202,19770,19826,17610,17591
21,24983,20643,19607,17391,17372
22,25745,20453,19417,17201,17182
28,26507,20263,19227,17011,16992
29,26288,21136,19008,16792,16773
31,27045,20941,18813,16621,16578
37,27807,20751,18623,16431,16388
40,27802,20746,18618,16450,16383
43,27797,20741,18613,16469,16378
44,27792,20736,18608,16488,16373
46,28554,20546,18418,16298,16183
47,28549,20541,18413,16317,16178
48,29311,20351,18223,16127,15988
50,30072,20160,18032,15936,15797
53,30834,19970,17842,15746,15607
54,31595,19779,17651,15555,15416
55,31591,19775,17647,15575,15412
56,32352,19584,17456,15384,15221
58,32351,19583,17455,15383,15225
59,32346,19578,17450,15402,15220
60,33108,19388,17260,15212,15030
62,33103,19383,17255,15231,15025
63,32884,20256,17036,15012,14811
64,33645,20065,16845,14821,14620
66,34407,19875,16655,14631,14430
68,34402,19870,16650,14650,14425
69,35164,19680,16460,14460,14235
70,35159,19675,16455,14479,14230
71,35154,19670,16450,14498,14225
74,35697,20353,16041,14089,13816
80,36459,20163,15851,13899,13626
81,36454,20158,15846,13918,13621
83,37759,20651,15247,13319,13022
84,37541,21525,15029,13101,12804
86,37536,21520,15024,13120,12799
88,38297,21329,14833,12929,12608
89,39821,20949,14453,12549,12228
91,39373,20501,16245,12101,11780
92,39368,20496,16240,12120,11775
93,39367,20495,16239,12119,11779
94,40128,20304,16048,11928,11588
95,40890,20114,15858,11738,11398
97,41652,19924,15668,11548,11208
99,42408,19728,15472,11376,11012
102,43170,19538,15282,11186,10822
103,44475,20031,14683,10587,10223
107,44470,20026,14678,10606,10218
109,44465,20021,14673,10625,10213
111,45227,19831,14483,10435,10023
116,45008,20704,14264,10216,9804
117,44342,21130,15838,9550,9138
120,45104,20940,15648,9360,8948
123,45865,20749,15457,9169,8757
124,45860,20744,15452,9188,8752
126,45856,20740,15448,9208,8748
131,45637,21613,15229,8989,8529
133,45632,21608,15224,9008,8524
134,45184,21160,17016,8560,8076
135,45180,21156,17012,8580,8072
136,45722,21838,16602,8170,7667
137,45503,22711,16383,7951,7448
138,46047,23395,15975,7543,7040
139,46042,23390,15970,7562,7035
140,45823,24263,15751,7343,6816
142,46585,24073,15561,7153,6626
144,46575,24063,15551,7191,6616
145,47651,23235,16963,6363,5788
146,48412,23044,16772,6172,5597
147,49174,22854,16582,5982,5407
148,49717,23537,16173,5573,4998
151,50254,24214,15758,5182,4588
152,51016,24024,15568,4992,4398
155,51011,24019,15563,5011,4393
157,51768,23824,15368,4840,4198
162,51551,24699,15151,4623,3976
163,51332,25572,14932,4404,3757
165,51327,25567,14927,4423,3752
170,50875,25115,16715,3995,3300
171,50656,25988,16496,3776,3081
172,50655,25987,16495,3775,3085
174,51416,25796,16304,3584,2899
178,52177,25605,16113,3393,2708
179,52502,27162,15486,2766,2081
180,52496,27156,15480,2784,2080
181,53258,26966,15290,2594,1890
187,53253,26961,15285,2613,1885
191,53792,27640,14872,2224,1472
194,53793,27641,14873,2225,1468
195,53569,28509,14649,2025,1244
196,53351,29383,14431,1807,1026
197,54112,29192,14240,1616,840
201,54107,29187,14235,1635,835
203,53888,30060,14016,1416,616
207,54650,29870,13826,1226,426
209,54432,30744,13608,1008,208
210,54432,30744,13608,1008,208
211,54432,30744,13608,1008,208
214,54432,30744,13608,1008,208
216,54432,30744,13608,1008,208
217,54644,29864,13820,1244,425
218,54426,30738,13602,1026,207
219,54426,30738,13602,1026,207
221,54643,29863,13819,1243,429
223,55401,29669,13625,1073,230
224,55619,28795,13843,1291,448
225,55620,28796,13844,1292,444
227,56382,28606,13654,1102,254
230,57144,28416,13464,912,64
233,57144,28416,13464,912,64
234,57144,28416,13464,912,64
235,57144,28416,13464,912,64
236,57139,28411,13459,931,59
237,57139,28411,13459,931,59
241,57587,28859,11667,1379,507
243,57368,29732,11448,1160,288
245,58124,29536,11252,988,97
246,58119,29531,11247,1007,92
247,58337,28657,11465,1225,315
252,58555,27783,11683,1443,533
259,58332,28652,11460,1244,310
261,58114,29526,11242,1026,92
262,58332,28652,11460,1244,310
268,58331,28651,11459,1243,314
270,58549,27777,11677,1461,532
275,58550,27778,11678,1462,528
276,58332,28652,11460,1244,310
279,58327,28647,11455,1263,305
280,58326,28646,11454,1262,309
281,58321,28641,11449,1281,304
282,58104,29516,11232,1064,82
285,58099,29511,11227,1083,77
293,58099,29511,11227,1083,77
294,58099,29511,11227,1083,77
297,58531,27759,11659,1539,509
299,58308,28628,11436,1340,286
300,58090,29502,11218,1122,68
301,58089,29501,11217,1121,72
303,58089,29501,11217,1121,72
305,58307,28627,11435,1339,290
306,57545,28817,11625,1529,480
307,57545,28817,11625,1529,480
308,57541,28813,11621,1549,476
309,57545,28817,11625,1529,480
311,57541,28813,11621,1549,476
312,56784,29008,11816,1720,671
316,56783,29007,11815,1719,675
317,55478,28514,12414,2318,1274
319,54716,28704,12604,2508,1464
324,53955,28895,12795,2699,1655
325,54173,28021,13013,2917,1873
327,54174,28022,13014,2918,1869
328,54393,27149,13233,3137,2088
329,54610,26274,13450,3354,2310
330,54380,24952,15460,3124,2080
332,54599,24079,15679,3343,2299
333,54600,24080,15680,3344,2295
334,54595,24075,15675,3363,2290
336,53833,24265,15865,3553,2480
338,53072,24456,16056,3744,2671
340,52310,24646,16246,3934,2861
342,52758,25094,14454,4382,3309
343,52763,25099,14459,4363,3314
344,52764,25100,14460,4364,3310
345,52002,25290,14650,4554,3500
346,52007,25295,14655,4535,3505
349,52012,25300,14660,4516,3510
352,52235,24431,14883,4715,3733
353,52454,23558,15102,4934,3952
356,51697,23753,15297,5105,4147
357,51702,23758,15302,5086,4152
358,51703,23759,15303,5087,4148
359,51921,22885,15521,5305,4366
361,51160,23076,15712,5496,4552
362,51165,23081,15717,5477,4557
363,50404,23272,15908,5668,4748
365,50408,23276,15912,5648,4752
366,49865,22593,16321,6057,5161
367,49104,22784,16512,6248,5352
372,49327,21915,16735,6447,5575
373,49013,22553,15133,7085,6213
374,49232,21680,15352,7304,6432
375,49450,20806,15570,7522,6650
378,49455,20811,15575,7503,6655
380,48693,21001,15765,7693,6845
381,49141,21449,13973,8141,7293
384,46856,22020,14544,8712,7864
386,46096,22212,14736,8904,8051
388,46101,22217,14741,8885,8056
389,46772,21796,13172,9532,8727
390,46010,21986,13362,9722,8917
391,46229,21113,13581,9941,9136
393,46230,21114,13582,9942,9132
394,45468,21304,13772,10132,9322
398,44706,21494,13962,10322,9512
