Time,VID,LVD,FDO,VIP,SSH
3,20761,19809,19809,19809,19809
5,21523,19619,19619,19619,19619
10,23046,19238,19238,19238,19238
12,22828,20112,19020,19020,19020
15,24351,19731,18639,18639,18639
16,24132,20604,18420,18420,18420
19,23913,21477,18201,18201,18206
20,23695,22351,17983,17983,17988
22,24456,22160,17792,17792,17797
24,25213,21965,17597,17621,17602
26,25975,21775,17407,17431,17412
28,25970,21770,17402,17450,17407
29,25522,21322,19194,17002,16959
32,25516,21316,19188,17020,16958
33,26059,21999,18779,16611,16549
35,25841,22873,18561,16393,16331
36,25622,23746,18342,16174,16112
38,25404,24620,18124,15956,15894
39,26160,24424,17928,15784,15703
43,26921,24233,17737,15593,15512
44,26917,24229,17733,15613,15508
46,26464,23776,19520,15184,15055
47,27225,23585,19329,14993,14864
48,27221,23581,19325,15013,14860
49,27981,23389,19133,14821,14673
50,27976,23384,19128,14840,14668
51,27528,22936,20920,14392,14220
53,27080,22488,22712,13944,13772
55,26857,23357,22489,13745,13549
56,26639,24231,22271,13527,13331
58,26638,24230,22270,13526,13335
61,26633,24225,22265,13545,13330
65,26415,25099,22047,13327,13112
72,27176,24908,21856,13136,12921
74,28699,24527,21475,12755,12540
76,28695,24523,21471,12775,12536
83,28689,24517,21465,12793,12535
84,28469,25389,21245,12573,12320
85,28465,25385,21241,12593,12316
86,28246,26258,21022,12374,12097
89,27809,28005,20585,11937,11660
91,28571,27815,20395,11747,11470
92,29332,27624,20204,11556,11284
93,30093,27433,20013,11365,11093
97,30088,27428,20008,11384,11088
98,30850,27238,19818,11194,10898
100,30631,28111,19599,10975,10684
101,31169,28789,19185,10585,10270
104,31168,28788,19184,10584,10274
106,31924,28592,18988,10412,10083
109,31919,28587,18983,10431,10078
110,32681,28397,18793,10241,9888
112,33442,28206,18602,10050,9697
117,33441,28205,18601,10049,9701
119,34203,28015,18411,9859,9511
120,33766,29762,17974,9422,9074
122,33548,30636,17756,9204,8856
124,33543,30631,17751,9223,8851
127,34086,31314,17342,8814,8442
129,34848,31124,17152,8624,8252
130,34400,30676,18944,8176,7804
133,35923,30295,18563,7795,7423
137,35918,30290,18558,7814,7418
139,36680,30100,18368,7624,7228
140,36456,30968,18144,7424,7004
141,36452,30964,18140,7444,7000
145,36451,30963,18139,7443,7004
149,36446,30958,18134,7462,6999
150,37207,30767,17943,7271,6808
152,37203,30763,17939,7291,6804
153,37964,30572,17748,7100,6613
155,38726,30382,17558,6910,6423
156,39487,30191,17367,6719,6232
160,39483,30187,17363,6739,6228
162,40787,30679,16763,6139,5628
164,40351,32427,16327,5703,5192
167,40346,32422,16322,5722,5187
168,40659,31783,17923,5083,4548
171,41198,32462,17510,4694,4135
