Time,VID,LVD,FDO,VIP,SSH
3,20,20,20,20,20
5,20,20,20,20,20
10,20,20,20,20,20
12,20,20,20,20,20
15,20,20,20,20,20
16,20,20,20,20,20
19,20,20,20,20,20
20,20,20,20,20,20
22,20,20,20,20,20
24,20,20,20,20,20
26,20,20,20,20,20
28,20,20,20,20,20
29,20,20,20,20,20
32,20,20,20,20,20
33,20,20,20,20,20
35,20,20,20,20,20
36,20,20,20,20,20
38,20,20,20,20,20
39,20,20,20,20,20
43,20,20,20,20,20
44,20,20,20,20,20
46,20,20,20,20,20
47,20,20,20,20,20
48,20,20,20,20,20
49,20,20,20,20,20
50,20,20,20,20,20
51,20,20,20,20,20
53,20,20,20,20,20
55,20,20,20,20,20
56,20,20,20,20,20
58,20,20,20,20,20
61,20,20,20,20,20
65,20,20,20,20,20
72,20,20,20,20,20
74,20,20,20,20,20
76,20,20,20,20,20
83,20,20,20,20,20
84,20,20,20,20,20
85,20,20,20,20,20
86,20,20,20,20,20
89,20,20,20,20,20
91,20,20,20,20,20
92,20,20,20,20,20
93,20,20,20,20,20
97,20,20,20,20,20
98,20,20,20,20,20
100,20,20,20,20,20
101,20,20,20,20,20
104,20,20,20,20,20
106,20,20,20,20,20
109,20,20,20,20,20
110,20,20,20,20,20
112,20,20,20,20,20
117,20,20,20,20,20
119,20,20,20,20,20
120,20,20,20,20,20
122,20,20,20,20,20
124,20,20,20,20,20
127,20,20,20,20,20
129,20,20,20,20,20
130,20,20,20,20,20
133,20,20,20,20,20
137,20,20,20,20,20
139,20,20,20,20,20
140,20,20,20,20,20
141,20,20,20,20,20
145,20,20,20,20,20
149,20,20,20,20,20
150,20,20,20,20,20
152,20,20,20,20,20
153,20,20,20,20,20
155,20,20,20,20,20
156,20,20,20,20,20
160,20,20,20,20,20
162,20,20,20,20,20
164,20,20,20,20,20
167,20,20,20,20,20
168,20,20,20,20,20
171,20,20,20,20,20
173,20,20,20,20,20
176,20,20,20,20,20
177,20,20,20,20,20
178,20,20,20,20,20
182,20,20,20,20,20
184,20,20,20,20,20
186,20,20,20,20,20
188,20,20,20,20,20
192,20,20,20,20,20
193,20,20,20,20,20
194,20,20,20,20,20
199,20,20,20,20,20
200,20,20,20,20,20
203,20,20,20,20,20
204,20,20,20,20,20
205,20,20,20,20,20
206,20,20,20,20,20
213,20,20,20,20,20
216,20,20,20,20,20
217,20,20,20,20,20
222,20,20,20,20,20
223,20,20,20,20,20
226,20,20,20,20,20
227,20,20,20,20,20
228,20,20,20,20,20
231,20,20,20,20,20
232,20,20,20,20,20
234,20,20,20,20,20
236,20,20,20,20,20
237,20,20,20,20,20
238,20,20,20,20,20
239,20,20,20,20,20
241,20,20,20,20,20
242,20,20,20,20,20
243,20,20,20,20,20
245,20,20,20,20,20
248,20,20,20,20,20
249,20,20,20,20,20
250,20,20,20,20,20
253,20,20,20,20,20
254,20,20,20,20,20
256,20,20,20,20,20
258,20,20,20,20,20
259,20,20,20,20,20
260,20,20,20,20,20
263,20,20,20,20,20
266,20,20,20,20,20
269,20,20,20,20,20
270,20,20,20,20,20
273,20,20,20,20,20
274,20,20,20,20,20
279,20,20,20,20,20
281,20,20,20,20,20
282,20,20,20,20,20
283,20,20,20,20,20
284,20,20,20,20,20
286,20,20,20,20,20
287,20,20,20,20,20
288,20,20,20,20,20
290,20,20,20,20,20
293,20,20,20,20,20
294,20,20,20,20,20
295,20,20,20,20,20
296,20,20,20,20,20
297,20,20,20,20,20
300,20,20,20,20,20
301,20,20,20,20,20
302,20,20,20,20,20
303,20,20,20,20,20
308,20,20,20,20,20
309,20,20,20,20,20
314,20,20,20,20,20
318,20,20,20,20,20
320,20,20,20,20,20
321,20,20,20,20,20
322,20,20,20,20,20
323,20,20,20,20,20
324,20,20,20,20,20
326,20,20,20,20,20
327,20,20,20,20,20
329,20,20,20,20,20
330,20,20,20,20,20
333,20,20,20,20,20
336,20,20,20,20,20
337,20,20,20,20,20
340,20,20,20,20,20
343,20,20,20,20,20
344,20,20,20,20,20
346,20,20,20,20,20
349,20,20,20,20,20
350,20,20,20,20,20
351,20,20,20,20,20
352,20,20,20,20,20
356,20,20,20,20,20
357,20,20,20,20,20
359,20,20,20,20,20
360,20,20,20,20,20
361,20,20,20,20,20
367,20,20,20,20,20
373,20,20,20,20,20
378,20,20,20,20,20
379,20,20,20,20,20
380,20,20,20,20,20
381,20,20,20,20,20
382,20,20,20,20,20
384,20,20,20,20,20
386,20,20,20,20,20
389,20,20,20,20,20
390,20,20,20,20,20
393,20,20,20,20,20
395,20,20,20,20,20
397,20,20,20,20,20
398,20,20,20,20,20
