Time,VID,LVD,FDO,VIP,SSH
6,20761,19809,19809,19809,19809
8,20756,19804,19804,19828,19804
9,20755,19803,19803,19827,19808
10,20532,20672,19580,19628,19585
16,21289,20477,19385,19457,19390
17,21071,21351,19167,19239,19172
18,20851,22223,18947,19019,18957
19,22374,21842,18566,18638,18576
22,23136,21652,18376,18448,18386
23,23131,21647,18371,18467,18381
26,22913,22521,18153,18249,18163
28,22694,23394,17934,18030,17944
31,22476,24268,17716,17812,17726
32,23019,24951,17307,17403,17317
43,23562,25634,16898,16994,16908
44,23344,26508,16680,16776,16690
45,23126,27382,16462,16558,16472
49,23881,27185,16265,16385,16280
54,23877,27181,16261,16405,16276
56,23658,28054,16042,16186,16057
58,23210,27606,17834,15738,15609
63,22992,28480,17616,15520,15391
64,23753,28289,17425,15329,15200
66,23535,29163,17207,15111,14982
68,23530,29158,17202,15130,14977
70,23525,29153,17197,15149,14972
71,23521,29149,17193,15169,14968
72,23516,29144,17188,15188,14963
73,24277,28953,16997,14997,14772
78,24059,29827,16779,14779,14554
79,24821,29637,16589,14589,14364
81,24820,29636,16588,14588,14368
84,24810,29626,16578,14626,14358
87,24592,30500,16360,14408,14140
90,24587,30495,16355,14427,14135
92,24139,30047,18147,13979,13687
93,23920,30920,17928,13760,13468
97,24681,30729,17737,13569,13282
100,24680,30728,17736,13568,13286
104,24462,31602,17518,13350,13068
105,25223,31411,17327,13159,12877
106,25005,32285,17109,12941,12659
107,25548,32968,16700,12532,12250
108,25100,32520,18492,12084,11802
111,25861,32329,18301,11893,11616
113,25642,33202,18082,11674,11397
115,26404,33012,17892,11484,11207
116,25967,34759,17455,11047,10770
117,26729,34569,17265,10857,10580
119,26728,34568,17264,10856,10584
121,27489,34377,17073,10665,10393
122,27484,34372,17068,10684,10388
123,27480,34368,17064,10704,10384
126,27261,35241,16845,10485,10165
129,28023,35051,16655,10295,9975
130,28784,34860,16464,10104,9784
134,29109,36417,15837,9477,9157
138,29104,36412,15832,9496,9152
141,29866,36222,15642,9306,8962
143,30628,36032,15452,9116,8772
144,30623,36027,15447,9135,8767
147,31383,35835,15255,8943,8580
149,31927,36519,14847,8535,8172
152,32688,36328,14656,8344,7981
153,33450,36138,14466,8154,7791
154,34755,36631,13867,7555,7192
155,36279,36251,13487,7175,6807
157,36822,36934,13078,6766,6398
158,36817,36929,13073,6785,6393
159,37579,36739,12883,6595,6203
161,37574,36734,12878,6614,6198
164,37575,36735,12879,6615,6194
166,38337,36545,12689,6425,6004
168,39860,36164,12308,6044,5623
169,40621,35973,12117,5853,5432
170,41383,35783,11927,5663,5242
183,41165,36657,11709,5445,5024
186,40946,37530,11490,5226,4805
187,40947,37531,11491,5227,4801
190,40729,38405,11273,5009,4583
191,40509,39277,11053,4789,4368
192,40291,40151,10835,4571,4150
194,40285,40145,10829,4589,4149
195,41047,39955,10639,4399,3959
196,40828,40828,10420,4180,3740
197,40610,41702,10202,3962,3522
199,40392,42576,9984,3744,3304
200,40387,42571,9979,3763,3299
204,40387,42571,9979,3763,3299
205,40168,43444,9760,3544,3080
207,40930,43254,9570,3354,2890
212,40712,44128,9352,3136,2672
213,41473,43937,9161,2945,2481
215,42016,44620,8752,2536,2072
216,41798,45494,8534,2318,1854
218,41580,46368,8316,2100,1636
219,41127,45915,10103,1671,1183
222,41122,45910,10098,1690,1178
223,41340,45036,10316,1908,1396
224,41341,45037,10317,1909,1392
226,41885,45721,9909,1501,984
228,42646,45530,9718,1310,793
229,42865,44657,9937,1529,1012
230,43615,42271,11975,1327,810
232,43833,41397,12193,1545,1028
233,43829,41393,12189,1565,1024
236,43829,41393,12189,1565,1024
237,43610,42266,11970,1346,805
238,43829,41393,12189,1565,1024
239,43828,41392,12188,1564,1028
240,43823,41387,12183,1583,1023
241,43604,42260,11964,1364,804
242,43381,43129,11741,1165,581
245,42933,42681,13533,717,133
246,42928,42676,13528,736,128
248,43147,41803,13747,955,347
249,43147,41803,13747,955,347
251,43142,41798,13742,974,342
254,42924,42672,13524,756,124
255,42924,42672,13524,756,124
257,42923,42671,13523,755,128
258,42924,42672,13524,756,124
259,42924,42672,13524,756,124
260,43142,41798,13742,974,342
262,43360,40924,13960,1192,560
263,43359,40923,13959,1191,564
264,43141,41797,13741,973,346
266,43359,40923,13959,1191,564
268,43578,40050,14178,1410,783
271,43579,40051,14179,1411,779
272,43798,39178,14398,1630,993
273,44017,38305,14617,1849,1212
277,44012,38300,14612,1868,1207
278,44230,37426,14830,2086,1425
279,44229,37425,14829,2085,1429
280,43792,39172,14392,1648,992
282,44011,38299,14611,1867,1211
284,43792,39172,14392,1648,992
288,43797,39177,14397,1629,997
289,43792,39172,14392,1648,992
290,43793,39173,14393,1649,988
293,43789,39169,14389,1669,984
295,43351,40915,13951,1231,551
297,43346,40910,13946,1250,546
301,43341,40905,13941,1269,541
303,43336,40900,13936,1288,536
304,43332,40896,13932,1308,532
306,43550,40022,14150,1526,750
308,43768,39148,14368,1744,968
309,43764,39144,14364,1764,964
314,43982,38270,14582,1982,1182
316,43982,38270,14582,1982,1182
318,44200,37396,14800,2200,1400
319,44205,37401,14805,2181,1405
320,44200,37396,14800,2200,1400
322,43887,38035,13199,2839,2039
323,43125,38225,13389,3029,2229
324,42582,37542,13798,3438,2638
326,41820,37732,13988,3628,2828
328,42034,36854,14202,3866,3042
329,41272,37044,14392,4056,3232
331,41273,37045,14393,4057,3228
333,41269,37041,14389,4077,3224
335,41273,37045,14393,4057,3228
336,41269,37041,14389,4077,3224
337,41273,37045,14393,4057,3228
343,41491,36171,14611,4275,3451
347,40729,36361,14801,4465,3641
348,40948,35488,15020,4684,3860
352,40191,35683,15215,4855,4055
359,40196,35688,15220,4836,4060
360,39882,36326,13618,5474,4698
362,39883,36327,13619,5475,4694
364,40101,35453,13837,5693,4912
365,40107,35459,13843,5675,4913
367,39350,35654,14038,5846,5108
373,39578,34790,14266,6026,5336
377,39797,33917,14485,6245,5555
378,40015,33043,14703,6463,5773
382,40234,32170,14922,6682,5992
385,40670,30422,15358,7118,6428
386,39909,30613,15549,7309,6619
390,40127,29739,15767,7527,6837
392,39366,29930,15958,7718,7028
395,39584,29056,16176,7936,7246
397,39802,28182,16394,8154,7464
