Time,VID,LVD,FDO,VIP,SSH
6,19995,19995,19995,20019,19995
7,19776,20868,19776,19800,19776
9,19767,20859,19767,19839,19767
10,19543,21727,19543,19639,19548
13,19324,22600,19324,19420,19329
14,19315,22591,19315,19459,19320
23,19305,22581,19305,19497,19310
24,19300,22576,19300,19516,19305
26,20062,22386,19110,19326,19115
29,20052,22376,19100,19364,19105
30,19834,23250,18882,19146,18887
39,19829,23245,18877,19165,18882
40,19824,23240,18872,19184,18877
42,19606,24114,18654,18966,18659
43,19601,24109,18649,18985,18654
44,20363,23919,18459,18795,18464
45,20358,23914,18454,18814,18459
46,21119,23723,18263,18623,18268
51,21115,23719,18259,18643,18264
55,21114,23718,18258,18642,18268
57,20895,24591,18039,18423,18049
58,21657,24401,17849,18233,17859
59,21652,24396,17844,18252,17854
60,21646,24390,17838,18270,17853
62,22408,24200,17648,18080,17663
63,22407,24199,17647,18079,17667
68,22402,24194,17642,18098,17662
69,23164,24004,17452,17908,17472
72,23925,23813,17261,17717,17281
74,23920,23808,17256,17736,17276
77,24682,23618,17066,17546,17086
78,24229,23165,18853,17117,16633
85,24991,22975,18663,16927,16443
89,25752,22784,18472,16736,16252
90,25529,23653,18249,16537,16029
91,27052,23272,17868,16156,15648
93,27814,23082,17678,15966,15458
95,28576,22892,17488,15776,15268
96,28357,23765,17269,15557,15049
98,29880,23384,16888,15176,14668
100,29879,23383,16887,15175,14672
102,30641,23193,16697,14985,14482
106,30950,22550,18294,14366,13839
107,30945,22545,18289,14385,13834
110,30940,22540,18284,14404,13829
112,30492,22092,20076,13956,13381
113,31254,21902,19886,13766,13191
117,31249,21897,19881,13785,13186
118,30359,23191,21231,12919,12296
120,31121,23001,21041,12729,12106
122,30684,24748,20604,12292,11669
123,30465,25621,20385,12073,11455
124,30464,25620,20384,12072,11459
126,30463,25619,20383,12071,11463
131,30458,25614,20378,12090,11458
133,31215,25419,20183,11919,11263
136,31972,25224,19988,11748,11068
142,31753,26097,19769,11529,10849
144,31305,25649,21561,11081,10401
148,31087,26523,21343,10863,10183
150,31082,26518,21338,10882,10178
152,31844,26328,21148,10692,9988
159,31625,27201,20929,10473,9769
161,31626,27202,20930,10474,9765
163,31408,28076,20712,10256,9547
166,32169,27885,20521,10065,9356
167,31945,28753,20297,9865,9137
168,31940,28748,20292,9884,9132
169,32702,28558,20102,9694,8942
173,33245,29241,19693,9285,8533
174,34007,29051,19503,9095,8343
176,34002,29046,19498,9114,8338
179,36282,28470,18922,8562,7762
180,35616,28896,20496,7896,7096
183,36377,28705,20305,7705,6905
184,36376,28704,20304,7704,6909
186,36148,29568,20076,7524,6681
187,37671,29187,19695,7143,6300
188,37662,29178,19686,7182,6291
191,38423,28987,19495,6991,6100
