,Downlink Throughput resAllocLink0,Downlink Throughput resAllocLink1,Downlink Throughput resAllocLink2,Downlink Throughput resAllocLink3,Downlink Throughput resAllocLink4,Downlink Throughput hostVID0,Downlink Throughput hostVID1,Downlink Throughput hostVID2,Downlink Throughput hostVID3,Downlink Throughput hostVID4,Downlink Throughput hostVID5,Downlink Throughput hostVID6,Downlink Throughput hostVID7,Downlink Throughput hostVID8,Downlink Throughput hostVID9,Downlink Throughput hostVID10,Downlink Throughput hostVID11,Downlink Throughput hostVID12,Downlink Throughput hostVID13,Downlink Throughput hostVID14,Downlink Throughput hostVID15,Downlink Throughput hostVID16,Downlink Throughput hostVID17,Downlink Throughput hostVID18,Downlink Throughput hostLVD0,Downlink Throughput hostLVD1,Downlink Throughput hostLVD2,Downlink Throughput hostLVD3,Downlink Throughput hostLVD4,Downlink Throughput hostLVD5,Downlink Throughput hostLVD6,Downlink Throughput hostLVD7,Downlink Throughput hostLVD8,Downlink Throughput hostLVD9,Downlink Throughput hostLVD10,Downlink Throughput hostLVD11,Downlink Throughput hostLVD12,Downlink Throughput hostLVD13,Downlink Throughput hostLVD14,Downlink Throughput hostLVD15,Downlink Throughput hostLVD16,Downlink Throughput hostLVD17,Downlink Throughput hostLVD18,Downlink Throughput hostFDO0,Downlink Throughput hostFDO1,Downlink Throughput hostFDO2,Downlink Throughput hostFDO3,Downlink Throughput hostFDO4,Downlink Throughput hostFDO5,Downlink Throughput hostFDO6,Downlink Throughput hostFDO7,Downlink Throughput hostFDO8,Downlink Throughput hostFDO9,Downlink Throughput hostFDO10,Downlink Throughput hostFDO11,Downlink Throughput hostFDO12,Downlink Throughput hostFDO13,Downlink Throughput hostFDO14,Downlink Throughput hostFDO15,Downlink Throughput hostFDO16,Downlink Throughput hostFDO17,Downlink Throughput hostFDO18,Downlink Throughput hostSSH0,Downlink Throughput hostSSH1,Downlink Throughput hostSSH2,Downlink Throughput hostSSH3,Downlink Throughput hostSSH4,Downlink Throughput hostSSH5,Downlink Throughput hostSSH6,Downlink Throughput hostSSH7,Downlink Throughput hostSSH8,Downlink Throughput hostSSH9,Downlink Throughput hostSSH10,Downlink Throughput hostSSH11,Downlink Throughput hostSSH12,Downlink Throughput hostSSH13,Downlink Throughput hostSSH14,Downlink Throughput hostSSH15,Downlink Throughput hostSSH16,Downlink Throughput hostSSH17,Downlink Throughput hostSSH18,Downlink Throughput hostSSH19,Downlink Throughput hostSSH20,Downlink Throughput hostSSH21,Downlink Throughput hostSSH22,Downlink Throughput hostSSH23,Downlink Throughput hostSSH24,Downlink Throughput hostSSH25,Downlink Throughput hostSSH26,Downlink Throughput hostSSH27,Downlink Throughput hostSSH28,Downlink Throughput hostSSH29,Downlink Throughput hostSSH30,Downlink Throughput hostSSH31,Downlink Throughput hostSSH32,Downlink Throughput hostSSH33,Downlink Throughput hostSSH34,Downlink Throughput hostSSH35,Downlink Throughput hostSSH36,Downlink Throughput hostSSH37,Downlink Throughput hostSSH38,Downlink Throughput hostSSH39,Downlink Throughput hostSSH40,Downlink Throughput hostVIP0,Downlink Throughput hostVIP1,Downlink Throughput hostVIP2,Downlink Throughput hostVIP3,Downlink Throughput hostVIP4,Downlink Throughput hostVIP5,Downlink Throughput hostVIP6,Downlink Throughput hostVIP7,Downlink Throughput hostVIP8,Downlink Throughput hostVIP9,Downlink Throughput hostVIP10,Downlink Throughput hostVIP11,Downlink Throughput hostVIP12,Downlink Throughput hostVIP13,Downlink Throughput hostVIP14,Downlink Throughput hostVIP15,Downlink Throughput hostVIP16,Downlink Throughput hostVIP17,Downlink Throughput hostVIP18,Downlink Throughput hostVIP19,Downlink Throughput hostVIP20,Downlink Throughput hostVIP21,Downlink Throughput hostVIP22,Downlink Throughput hostVIP23,Downlink Throughput hostVIP24,Downlink Throughput hostVIP25,Downlink Throughput hostVIP26,Downlink Throughput hostVIP27,Downlink Throughput hostVIP28,Downlink Throughput hostVIP29,Downlink Throughput hostVIP30,Downlink Throughput hostVIP31,Downlink Throughput hostVIP32,Downlink Throughput hostVIP33,Downlink Throughput hostVIP34,Downlink Throughput hostVIP35,Downlink Throughput hostVIP36,Downlink Throughput hostVIP37,Downlink Throughput hostVIP38
0,284.2564,0.28328,0.0276,0.28328,0.0276,8.1624,0.00408,8.1624,0.00408,2.64608,0.84728,0.12776,1.80664,6.84328,8.1624,8.26728,0.3676,3.60544,8.26728,0.00408,7.32296,4.20504,6.84328,0.84728,1.5668,0.84728,8.1624,8.1624,8.1624,7.68272,8.26728,8.26728,0.0,0.0,8.26728,8.26728,8.26728,0.3676,0.12776,8.26728,1.68672,8.26728,1.80664,0.85104,0.0,0.0,22.91632,11.64384,0.37136,0.12776,0.85104,0.00408,14.28208,0.0,0.37136,23.03624,1.8104,3.72912,1.69048,0.0,20.27808,5.408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.0,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.0,0.00408,0.00408,0.00408,0.00408,0.0,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.0,0.00408,0.00408,0.00408,0.00408,0.0,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.072,0.186,0.048,0.222,0.264,0.006,0.228,0.03,0.12,0.09,0.18,0.24,0.048,0.228,0.18,0.186,0.09,0.0,0.03,0.048,0.108,0.018,0.0,0.006,0.0,0.09,0.084,0.042,0.03,0.0,0.18,0.102,0.15,0.138,0.09,0.06,0.06,0.144,0.0
0,965.17584,0.58752,0.42584,0.59224,0.392,18.09664,12.94384,17.5076,11.86456,18.93608,17.8568,15.33848,19.056,15.48984,16.71432,18.86816,15.57832,18.81616,17.34208,12.704,15.68904,18.93608,17.01656,17.61696,7.76808,8.83888,1.38,1.35,0.84496,1.4684,1.09136,1.10136,9.5124,9.30488,0.88384,0.84008,1.27512,8.72976,9.5584,1.33888,7.70192,0.91384,7.612,30.21984,20.63784,18.5992,36.21584,36.33576,27.34176,24.34752,29.14056,22.19272,36.21584,20.75776,28.42104,36.21584,32.13856,34.89672,32.13856,18.71912,36.33576,36.45568,0.1344,0.01072,0.08464,0.04608,0.03536,0.01072,0.1344,0.06,0.1344,0.1344,0.00408,0.1344,0.08464,0.1344,0.06,0.1344,0.1344,0.00408,0.08464,0.03536,0.1344,0.01072,0.00408,0.04608,0.07392,0.03536,0.07392,0.01072,0.08464,0.00408,0.1344,0.0,0.02144,0.01072,0.00408,0.1344,0.02144,0.07392,0.07392,0.1344,0.04608,0.114,0.3,0.078,0.3,0.186,0.24,0.3,0.3,0.246,0.282,0.0,0.3,0.168,0.198,0.3,0.198,0.3,0.3,0.0,0.3,0.3,0.018,0.306,0.3,0.3,0.144,0.102,0.3,0.03,0.012,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.024,0.09
0,999.96992,0.59504,0.54616,0.50856,0.55744,18.31136,16.67864,15.5448,17.10288,16.78624,16.99472,16.73072,16.638,16.86016,16.69712,16.70336,16.7756,17.11216,16.78016,16.78168,16.85544,15.13976,18.71128,16.79232,2.67024,4.89792,6.06552,3.9916,4.25912,3.18528,3.55656,2.97776,5.808,3.17528,4.0516,3.01152,8.35696,3.52656,6.30304,5.29296,3.74408,3.04152,4.0316,30.93936,30.93936,31.05928,30.81944,30.81944,30.93936,30.93936,30.93936,30.81944,30.81944,30.81944,30.81944,30.93936,30.93936,30.81944,30.93936,30.93936,30.81944,30.81944,0.01072,0.12368,0.04976,0.08832,0.09904,0.12368,0.0,0.0744,0.01072,0.02144,0.1344,0.02144,0.04976,0.01072,0.0744,0.0,0.02144,0.1344,0.04976,0.09904,0.0,0.12368,0.1344,0.08832,0.06048,0.09904,0.06048,0.12368,0.04976,0.1344,0.0,0.1344,0.11296,0.12368,0.1344,0.02144,0.11296,0.06048,0.06048,0.02144,0.08832,0.258,0.3,0.072,0.258,0.09,0.282,0.264,0.3,0.18,0.078,0.15,0.3,0.006,0.234,0.018,0.282,0.264,0.3,0.06,0.27,0.3,0.234,0.264,0.3,0.294,0.102,0.288,0.27,0.204,0.174,0.3,0.06,0.276,0.3,0.138,0.3,0.18,0.222,0.024
0,1000.07336,0.54616,0.51232,0.56776,0.54144,16.70392,15.66384,18.10792,17.27224,15.69136,15.91752,15.98368,17.48752,16.68552,19.19096,15.76224,15.79456,16.97152,15.75696,15.87456,15.7132,16.92536,16.77312,15.66608,3.62032,6.00552,6.93184,6.88184,4.98168,5.93176,5.64424,5.54048,5.10544,5.94176,5.94176,5.2392,6.4668,6.01552,5.50672,5.43672,5.44672,3.96112,2.0424,29.98,30.09992,29.98,30.09992,30.09992,30.09992,29.98,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,30.09992,0.12368,0.06,0.1344,0.1344,0.1344,0.07392,0.1344,0.1344,0.12368,0.11296,0.04608,0.11296,0.1344,0.12368,0.1344,0.1344,0.11296,0.00752,0.1344,0.08464,0.1344,0.06,0.04608,0.1344,0.1344,0.08464,0.1344,0.06,0.1344,0.04608,0.1344,0.04608,0.07392,0.06,0.04608,0.11296,0.08464,0.1344,0.1344,0.11296,0.1344,0.018,0.108,0.186,0.108,0.006,0.156,0.078,0.3,0.276,0.042,0.276,0.066,0.288,0.228,0.108,0.3,0.0,0.3,0.3,0.3,0.102,0.222,0.0,0.3,0.3,0.0,0.234,0.216,0.3,0.3,0.102,0.3,0.3,0.294,0.276,0.3,0.3,0.294,0.132
0,999.95176,0.51984,0.52736,0.56496,0.53208,15.90688,16.13224,17.33736,15.56928,15.874,15.95136,19.07104,17.33184,18.47144,15.89184,15.98992,16.05704,15.63488,16.1444,16.18664,16.65952,18.35152,17.68248,16.18608,6.88184,7.52064,5.90176,6.72808,3.58656,5.09544,5.41672,4.94168,5.868,7.25312,5.99176,5.59048,6.31304,5.788,4.74416,5.91176,6.07552,3.60528,7.38592,29.62024,29.62024,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.74016,29.62024,29.62024,29.62024,29.50032,29.62024,29.62024,0.06,0.0744,0.03536,0.0,0.0,0.06048,0.06,0.01072,0.07392,0.08464,0.08832,0.07392,0.03536,0.07392,0.01072,0.04608,0.07392,0.00408,0.04608,0.04976,0.04608,0.0744,0.08832,0.0,0.03536,0.04976,0.02144,0.0744,0.04608,0.08832,0.06,0.08832,0.06048,0.0744,0.08832,0.07392,0.04976,0.03536,0.02144,0.08464,0.0,0.096,0.0,0.276,0.0,0.054,0.102,0.0,0.3,0.0,0.102,0.3,0.0,0.18,0.3,0.192,0.168,0.0,0.3,0.204,0.3,0.0,0.132,0.24,0.3,0.3,0.0,0.3,0.168,0.102,0.288,0.3,0.3,0.186,0.246,0.18,0.3,0.3,0.246,0.054
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
