,Uplink Throughput resAllocLink0,Uplink Throughput resAllocLink1,Uplink Throughput resAllocLink2,Uplink Throughput resAllocLink3,Uplink Throughput resAllocLink4,Uplink Throughput hostVID0,Uplink Throughput hostVID1,Uplink Throughput hostVID2,Uplink Throughput hostVID3,Uplink Throughput hostVID4,Uplink Throughput hostVID5,Uplink Throughput hostVID6,Uplink Throughput hostVID7,Uplink Throughput hostVID8,Uplink Throughput hostVID9,Uplink Throughput hostVID10,Uplink Throughput hostVID11,Uplink Throughput hostVID12,Uplink Throughput hostVID13,Uplink Throughput hostVID14,Uplink Throughput hostVID15,Uplink Throughput hostVID16,Uplink Throughput hostVID17,Uplink Throughput hostVID18,Uplink Throughput hostLVD0,Uplink Throughput hostLVD1,Uplink Throughput hostLVD2,Uplink Throughput hostLVD3,Uplink Throughput hostLVD4,Uplink Throughput hostLVD5,Uplink Throughput hostLVD6,Uplink Throughput hostLVD7,Uplink Throughput hostLVD8,Uplink Throughput hostLVD9,Uplink Throughput hostLVD10,Uplink Throughput hostLVD11,Uplink Throughput hostLVD12,Uplink Throughput hostLVD13,Uplink Throughput hostLVD14,Uplink Throughput hostLVD15,Uplink Throughput hostLVD16,Uplink Throughput hostLVD17,Uplink Throughput hostLVD18,Uplink Throughput hostFDO0,Uplink Throughput hostFDO1,Uplink Throughput hostFDO2,Uplink Throughput hostFDO3,Uplink Throughput hostFDO4,Uplink Throughput hostFDO5,Uplink Throughput hostFDO6,Uplink Throughput hostFDO7,Uplink Throughput hostFDO8,Uplink Throughput hostFDO9,Uplink Throughput hostFDO10,Uplink Throughput hostFDO11,Uplink Throughput hostFDO12,Uplink Throughput hostFDO13,Uplink Throughput hostFDO14,Uplink Throughput hostFDO15,Uplink Throughput hostFDO16,Uplink Throughput hostFDO17,Uplink Throughput hostFDO18,Uplink Throughput hostSSH0,Uplink Throughput hostSSH1,Uplink Throughput hostSSH2,Uplink Throughput hostSSH3,Uplink Throughput hostSSH4,Uplink Throughput hostSSH5,Uplink Throughput hostSSH6,Uplink Throughput hostSSH7,Uplink Throughput hostSSH8,Uplink Throughput hostSSH9,Uplink Throughput hostSSH10,Uplink Throughput hostSSH11,Uplink Throughput hostSSH12,Uplink Throughput hostSSH13,Uplink Throughput hostSSH14,Uplink Throughput hostSSH15,Uplink Throughput hostSSH16,Uplink Throughput hostSSH17,Uplink Throughput hostSSH18,Uplink Throughput hostSSH19,Uplink Throughput hostSSH20,Uplink Throughput hostSSH21,Uplink Throughput hostSSH22,Uplink Throughput hostSSH23,Uplink Throughput hostSSH24,Uplink Throughput hostSSH25,Uplink Throughput hostSSH26,Uplink Throughput hostSSH27,Uplink Throughput hostSSH28,Uplink Throughput hostSSH29,Uplink Throughput hostSSH30,Uplink Throughput hostSSH31,Uplink Throughput hostSSH32,Uplink Throughput hostSSH33,Uplink Throughput hostSSH34,Uplink Throughput hostSSH35,Uplink Throughput hostSSH36,Uplink Throughput hostSSH37,Uplink Throughput hostSSH38,Uplink Throughput hostSSH39,Uplink Throughput hostSSH40,Uplink Throughput hostVIP0,Uplink Throughput hostVIP1,Uplink Throughput hostVIP2,Uplink Throughput hostVIP3,Uplink Throughput hostVIP4,Uplink Throughput hostVIP5,Uplink Throughput hostVIP6,Uplink Throughput hostVIP7,Uplink Throughput hostVIP8,Uplink Throughput hostVIP9,Uplink Throughput hostVIP10,Uplink Throughput hostVIP11,Uplink Throughput hostVIP12,Uplink Throughput hostVIP13,Uplink Throughput hostVIP14,Uplink Throughput hostVIP15,Uplink Throughput hostVIP16,Uplink Throughput hostVIP17,Uplink Throughput hostVIP18,Uplink Throughput hostVIP19,Uplink Throughput hostVIP20,Uplink Throughput hostVIP21,Uplink Throughput hostVIP22,Uplink Throughput hostVIP23,Uplink Throughput hostVIP24,Uplink Throughput hostVIP25,Uplink Throughput hostVIP26,Uplink Throughput hostVIP27,Uplink Throughput hostVIP28,Uplink Throughput hostVIP29,Uplink Throughput hostVIP30,Uplink Throughput hostVIP31,Uplink Throughput hostVIP32,Uplink Throughput hostVIP33,Uplink Throughput hostVIP34,Uplink Throughput hostVIP35,Uplink Throughput hostVIP36,Uplink Throughput hostVIP37,Uplink Throughput hostVIP38
0,11.32272,8.1624,0.00408,8.1624,0.00408,0.28328,0.0276,0.28328,0.0276,0.11032,0.05392,0.03136,0.084,0.24192,0.28328,0.3068,0.03888,0.1404,0.3068,0.0276,0.25696,0.1592,0.24192,0.05392,0.07648,0.05392,0.28328,0.28328,0.28328,0.26824,0.3068,0.3068,0.00408,0.00408,0.3068,0.3068,0.3068,0.03888,0.03136,0.3068,0.08024,0.3068,0.084,0.10568,0.00408,0.00408,0.79752,0.44408,0.09064,0.08312,0.10568,0.0756,0.5268,0.00408,0.09064,0.80128,0.13576,0.19592,0.132,0.00408,0.7148,0.24856,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00408,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00408,0.00784,0.00784,0.00784,0.00784,0.00408,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.00408,0.00784,0.00784,0.00784,0.00784,0.00408,0.00784,0.00784,0.00784,0.00784,0.00784,0.00784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33.654,18.09664,12.94384,17.5076,11.86456,0.58752,0.42584,0.59224,0.392,0.61384,0.58,0.50104,0.6176,0.52832,0.56592,0.61384,0.50856,0.61008,0.56496,0.41832,0.53208,0.61384,0.57344,0.57248,0.28392,0.31776,0.08464,0.08464,0.0696,0.0884,0.05736,0.05736,0.36384,0.35632,0.04984,0.04608,0.06112,0.314,0.34032,0.06488,0.28392,0.04984,0.28016,0.94752,0.722,0.65808,1.13552,1.13928,0.85728,0.76328,0.91368,0.69936,1.13552,0.72576,0.89112,1.13552,1.00768,1.09416,1.00768,0.66184,1.13928,1.14304,0.09536,0.01768,0.0916,0.05624,0.04232,0.01768,0.09536,0.07016,0.09536,0.09536,0.00376,0.09536,0.0916,0.09536,0.07016,0.09536,0.09536,0.00376,0.0916,0.04232,0.09536,0.01768,0.00376,0.05624,0.08088,0.04232,0.08088,0.01768,0.0916,0.00376,0.09536,0.00696,0.0316,0.01768,0.00376,0.09536,0.0316,0.08088,0.08088,0.09536,0.05624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33.5396,18.31136,16.67864,15.5448,17.10288,0.59504,0.54616,0.50856,0.55744,0.54616,0.55368,0.54616,0.5424,0.54992,0.54616,0.54616,0.54616,0.55744,0.54616,0.54616,0.54992,0.51704,0.58656,0.54616,0.10624,0.17392,0.21152,0.1476,0.15512,0.12128,0.13256,0.11376,0.204,0.12128,0.1476,0.11752,0.28296,0.13256,0.21904,0.18896,0.14008,0.11752,0.1476,0.97008,0.97008,0.97384,0.96632,0.96632,0.97008,0.97008,0.97008,0.96632,0.96632,0.96632,0.96632,0.97008,0.97008,0.96632,0.97008,0.97008,0.96632,0.96632,0.01768,0.07768,0.00376,0.03912,0.05304,0.07768,0.00696,0.0252,0.01768,0.0316,0.09536,0.0316,0.00376,0.01768,0.0252,0.00696,0.0316,0.09536,0.00376,0.05304,0.00696,0.07768,0.09536,0.03912,0.01448,0.05304,0.01448,0.07768,0.00376,0.09536,0.00696,0.0884,0.06376,0.07768,0.09536,0.0316,0.06376,0.01448,0.01448,0.0316,0.03912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,34.9768,16.70392,15.66384,18.10792,17.27224,0.54616,0.51232,0.56776,0.54144,0.51232,0.51984,0.5236,0.56872,0.54616,0.6016,0.51608,0.51608,0.55368,0.51608,0.51984,0.51232,0.55368,0.54616,0.51232,0.13632,0.21152,0.23784,0.23784,0.17768,0.20776,0.20024,0.19648,0.18144,0.20776,0.20776,0.1852,0.2228,0.21152,0.19272,0.19272,0.19272,0.12408,0.06392,0.94,0.94376,0.94,0.94376,0.94376,0.94376,0.94,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.94376,0.07768,0.07016,0.09536,0.09536,0.09536,0.08088,0.0884,0.09536,0.07768,0.06376,0.05624,0.06376,0.09536,0.07768,0.09536,0.0884,0.06376,0.00752,0.09536,0.0916,0.0884,0.07016,0.05624,0.09536,0.09536,0.0916,0.09536,0.07016,0.09536,0.05624,0.0884,0.05624,0.08088,0.07016,0.05624,0.06376,0.0916,0.09536,0.09536,0.06376,0.09536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33.53088,15.90688,16.13224,17.33736,15.56928,0.51984,0.52736,0.56496,0.53208,0.51984,0.51984,0.59784,0.56496,0.57904,0.51984,0.5236,0.5236,0.53208,0.52736,0.52736,0.5424,0.57528,0.57624,0.52736,0.23784,0.25664,0.20776,0.23408,0.13256,0.18144,0.19272,0.17768,0.204,0.24912,0.20776,0.19648,0.21904,0.204,0.17016,0.20776,0.21152,0.13632,0.2764,0.92872,0.92872,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.93248,0.92872,0.92872,0.92872,0.92496,0.92872,0.92872,0.07016,0.0252,0.04232,0.00696,0.00696,0.01448,0.07016,0.01768,0.08088,0.0916,0.03912,0.08088,0.04232,0.08088,0.01768,0.05624,0.08088,0.00784,0.05624,0.00376,0.05624,0.0252,0.03912,0.00696,0.04232,0.00376,0.0316,0.0252,0.05624,0.03912,0.07016,0.03912,0.01448,0.0252,0.03912,0.08088,0.00376,0.04232,0.0316,0.0916,0.00696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
