,Downlink Throughput resAllocLink0,Downlink Throughput resAllocLink1,Downlink Throughput hostFDO0,Downlink Throughput hostFDO1,Downlink Throughput hostFDO2,Downlink Throughput hostFDO3,Downlink Throughput hostFDO4,Downlink Throughput hostFDO5,Downlink Throughput hostFDO6,Downlink Throughput hostFDO7,Downlink Throughput hostFDO8,Downlink Throughput hostFDO9,Downlink Throughput hostFDO10,Downlink Throughput hostFDO11,Downlink Throughput hostFDO12,Downlink Throughput hostFDO13,Downlink Throughput hostFDO14,Downlink Throughput hostFDO15,Downlink Throughput hostFDO16,Downlink Throughput hostFDO17,Downlink Throughput hostFDO18,Downlink Throughput hostFDO19,Downlink Throughput hostFDO20,Downlink Throughput hostFDO21,Downlink Throughput hostFDO22,Downlink Throughput hostFDO23,Downlink Throughput hostFDO24,Downlink Throughput hostFDO25,Downlink Throughput hostFDO26,Downlink Throughput hostFDO27,Downlink Throughput hostFDO28,Downlink Throughput hostFDO29,Downlink Throughput hostFDO30,Downlink Throughput hostFDO31,Downlink Throughput hostFDO32,Downlink Throughput hostFDO33,Downlink Throughput hostFDO34,Downlink Throughput hostFDO35,Downlink Throughput hostFDO36,Downlink Throughput hostFDO37,Downlink Throughput hostFDO38,Downlink Throughput hostFDO39,Downlink Throughput hostFDO40,Downlink Throughput hostFDO41,Downlink Throughput hostFDO42,Downlink Throughput hostFDO43
0,289.56544,0.49672,13.32272,20.63784,0.00408,0.12776,13.92232,6.96696,0.00408,0.0,2.88968,18.95896,0.85104,5.28808,0.12776,7.2068,1.8104,3.0096,9.84504,0.0,14.64184,0.12776,19.43864,0.85104,0.37136,0.12776,3.72912,12.24344,15.96096,0.12776,0.00408,17.9996,10.8044,13.92232,4.56856,17.75976,9.84504,0.00408,0.85104,1.8104,1.69048,2.88968,0.85104,0.37136,11.28408,22.31672
0,999.96504,0.80464,25.66288,25.54296,16.6764,17.632,25.54296,25.66288,15.59712,14.16216,24.5836,25.7828,22.66488,25.7828,19.19096,25.7828,24.70352,24.46368,25.90272,14.04224,25.7828,18.11168,25.7828,21.46568,19.66688,17.87184,25.66288,25.90272,25.66288,19.31088,16.55648,25.7828,25.90272,25.7828,25.66288,25.66288,25.7828,16.55648,22.06528,24.46368,22.66488,24.34376,23.02464,19.7868,25.66288,25.66288
0,1000.01288,0.71064,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.90472,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848
0,1000.01288,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488
0,1000.01288,0.71064,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.90472,22.7848,22.7848,22.66488,22.7848,22.7848,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488
0,1000.01288,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.66488,22.7848,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.90472,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848
0,1000.01288,0.7144,22.7848,22.66488,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.66488,22.7848
0,1000.01288,0.71064,22.66488,22.66488,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.7848,22.66488,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848
0,1000.01288,0.71064,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.90472,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848,22.90472,22.7848,22.7848,22.66488,22.7848,22.7848,22.7848,22.66488,22.66488,22.66488,22.7848,22.7848,22.7848,22.7848,22.7848,22.54496,22.66488,22.54496,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.7848,22.66488,22.66488,22.66488,22.54496
0,1000.01288,0.7144,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.66488,22.7848,22.66488,22.7848,22.66488,22.90472,22.7848,22.66488,22.54496,22.66488,22.54496,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.66488,22.54496,22.66488,22.54496,22.7848,22.7848,22.7848,22.7848,22.7848,22.66488,22.7848,22.90472,22.7848,22.7848,22.7848,22.66488,22.7848,22.7848
