numActiveSessions:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHBufferLength:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoBitrate:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoResolution:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostVID[1].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[1].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostVID[1].tcp.conn-293 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHReceivedBytes:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0,0,0,0,0,0,0,285,0,360,0.872024980441,0,0.872024980441,51,0.952127211666,51,1.032160838066,0.080033626400000001,1.032292374066,0.040137108800000001,1.956193593634,100000
0.872024980441,1,3.508366537634,5,4.508366537634,1,1.956193593634,324,1.956193593634,360,3.508366537634,1,0.952127211666,47,1.032160838066,47,2.036743401634,0.080549808,1.112573337634,0.120418072368000005,3.508366537634,202500
,,4.508366537634,4,,,3.508366537634,314,3.508366537634,360,,,0.952127587666,247,1.032292374066,1499,3.589550761634,0.081184223999999999,1.112693257634,0.120537992368000001,,
,,,,,,,,,,,,1.032292374066,47,1.112573337634,1499,,,1.193005817634,0.200850552367999978,,
,,,,,,,,,,,,1.112573337634,47,1.112693257634,1499,,,1.193605417634,0.201450152368000012,,
,,,,,,,,,,,,1.112693257634,47,1.193005817634,1499,,,1.200204777634,0.20804951236800001,,
,,,,,,,,,,,,1.193005817634,47,1.193605417634,1499,,,1.210881417634,0.21872615236799997,,
,,,,,,,,,,,,1.193605417634,47,1.200204777634,1499,,,1.273243577634,0.281088312368000025,,
,,,,,,,,,,,,1.200204777634,47,1.210881417634,1499,,,1.273843177634,0.281687912367999947,,
,,,,,,,,,,,,1.210881417634,47,1.273243577634,1499,,,1.280438777634,0.288283512367999982,,
,,,,,,,,,,,,1.273243577634,47,1.273843177634,1499,,,1.291456377634,0.299301112367999942,,
,,,,,,,,,,,,1.273843177634,47,1.280438777634,1499,,,1.302129257634,0.309973992367999938,,
,,,,,,,,,,,,1.280438777634,47,1.291456377634,1499,,,1.307525657634,0.315370392368000017,,
,,,,,,,,,,,,1.291456377634,47,1.302129257634,1499,,,1.312922057634,0.320766792367999985,,
,,,,,,,,,,,,1.302129257634,47,1.307525657634,1499,,,1.323594937634,0.331439672367999981,,
,,,,,,,,,,,,1.307525657634,47,1.312922057634,1499,,,1.353683577634,0.36152831236799998,,
,,,,,,,,,,,,1.312922057634,47,1.323594937634,1499,,,1.355362457634,0.363207192367999918,,
,,,,,,,,,,,,1.323594937634,47,1.353683577634,1499,,,1.360878777634,0.368723512367999937,,
,,,,,,,,,,,,1.353683577634,47,1.355362457634,1499,,,1.371555417634,0.379400152367999952,,
,,,,,,,,,,,,1.355362457634,47,1.360878777634,1499,,,1.382348217634,0.390192952367999999,,
,,,,,,,,,,,,1.360878777634,47,1.371555417634,1499,,,1.393006057634,0.400850792367999918,,
,,,,,,,,,,,,1.371555417634,47,1.382348217634,1499,,,1.403678937634,0.411523672368000024,,
,,,,,,,,,,,,1.382348217634,47,1.393006057634,1499,,,1.414471737634,0.42231647236799996,,
,,,,,,,,,,,,1.393006057634,47,1.403678937634,1499,,,1.425144617634,0.432989352367999956,,
,,,,,,,,,,,,1.403678937634,47,1.414471737634,1499,,,1.425264537634,0.433109272368000007,,
,,,,,,,,,,,,1.414471737634,47,1.425144617634,1499,,,1.435821257634,0.44366599236799997,,
,,,,,,,,,,,,1.425144617634,47,1.425264537634,1499,,,1.446494137634,0.454338872367999967,,
,,,,,,,,,,,,1.425264537634,47,1.435821257634,1499,,,1.457286937634,0.465131672368000013,,
,,,,,,,,,,,,1.435821257634,47,1.446494137634,1499,,,1.467959817634,0.475804552368000008,,
,,,,,,,,,,,,1.446494137634,47,1.457286937634,1499,,,1.478636457634,0.486481192368000024,,
,,,,,,,,,,,,1.457286937634,47,1.467959817634,1499,,,1.489414217634,0.497258952367999994,,
,,,,,,,,,,,,1.467959817634,47,1.478636457634,1499,,,1.500087097634,0.507931832367999989,,
,,,,,,,,,,,,1.478636457634,47,1.489414217634,1499,,,1.510759977634,0.518604712367999985,,
,,,,,,,,,,,,1.489414217634,47,1.500087097634,1499,,,1.521432857634,0.529277592367999981,,
,,,,,,,,,,,,1.500087097634,47,1.510759977634,1499,,,1.532225657634,0.540070392367999916,,
,,,,,,,,,,,,1.510759977634,47,1.521432857634,1499,,,1.542883497634,0.550728232367999834,,
,,,,,,,,,,,,1.521432857634,47,1.532225657634,1499,,,1.553661257634,0.561505992367999914,,
