numActiveSessions:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[15].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHliveDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostLVD[15].tcp.conn-471 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHEstimatedBitrate:vector baselineTestQoS.hostLVD[15].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0,0,0,0,0,113,0,240,0.032703760127,0,0.032703760127,51,0.112913217727,51,0.112913217727,0.112913217726999997,0.192945060127,0.080031842399999996,0.193076596127,0.040137108800000001,0.788923007736,100000,1.1920858152,671.574836828449859
0.032703760127,1,1.1920858152,1,3.3978803672,1,1,129,1,240,2.3978803672,1,0.112913217727,47,0.192945060127,47,1,1,1.0807697864,0.080769786399999987,0.273315480127,0.120375992799999997,1.1920858152,16125,2.3978803672,1102.245722477199703
,,2.3978803672,2,4.3978803672,2,2,512,2,480,,,0.112913593727,247,0.193076596127,1499,2,2,2.0819864312,0.081986431199999986,0.273435400127,0.120495912799999992,2.3978803672,64000,3.4372538712,1172.747450680599736
,,3.3978803672,1,,,3,526,3,480,,,0.193076596127,47,0.273315480127,1499,2.3978803672,2.397880367199999962,3.0819963512,0.081996351199999983,0.353554364127,0.200614876800000007,3.4372538712,65750,4.4502913272,1241.026349066300095
,,3.4372538712,2,,,4,572,4,480,,,0.273315480127,47,0.273435400127,1499,3,3,4.0819889912,0.081988991199999999,0.353674284127,0.200734796800000003,4.4502913272,71500,,
,,4.3978803672,1,,,5,584,5,480,,,0.273435400127,47,0.353554364127,1499,3.3978803672,2.397880367199999962,,,0.355758739366,0.202819252038999974,,,,
,,4.4502913272,2,,,,,,,,,0.353554364127,47,0.353674284127,1499,4,3,,,0.359049178615,0.206109691287999995,,,,
,,,,,,,,,,,,0.353674284127,47,0.355758739366,1499,4.3978803672,2.397880367199999962,,,0.433793248127,0.280853760800000017,,,,
,,,,,,,,,,,,0.355758739366,47,0.359049178615,1499,5,3,,,0.433913168127,0.280973680799999957,,,,
,,,,,,,,,,,,0.359049178615,47,0.433793248127,1499,,,,,0.435996424166,0.283056936839000016,,,,
,,,,,,,,,,,,0.433793248127,47,0.433913168127,1499,,,,,0.439284734235,0.286345246908000005,,,,
,,,,,,,,,,,,0.433913168127,47,0.435996424166,1499,,,,,0.442638356476,0.289698869149000003,,,,
,,,,,,,,,,,,0.435996424166,47,0.439284734235,1499,,,,,0.445917417607,0.292977930279999963,,,,
,,,,,,,,,,,,0.439284734235,47,0.442638356476,1499,,,,,0.449172965948,0.296233478621000022,,,,
,,,,,,,,,,,,0.442638356476,47,0.445917417607,1499,,,,,0.452537780834,0.299598293506999956,,,,
,,,,,,,,,,,,0.445917417607,47,0.449172965948,1499,,,,,0.514132410402,0.361192923074999947,,,,
,,,,,,,,,,,,0.449172965948,47,0.452537780834,1499,,,,,0.514252330402,0.361312843075,,,,
,,,,,,,,,,,,0.452537780834,47,0.514132410402,1499,,,,,0.516335308166,0.363395820839000015,,,,
,,,,,,,,,,,,0.514132410402,47,0.514252330402,1499,,,,,0.519654001328,0.366714514000999967,,,,
,,,,,,,,,,,,0.514252330402,47,0.516335308166,1499,,,,,0.523121881276,0.370182393948999986,,,,
,,,,,,,,,,,,0.516335308166,47,0.519654001328,1499,,,,,0.526256301607,0.373316814279999963,,,,
,,,,,,,,,,,,0.519654001328,47,0.523121881276,1499,,,,,0.529511849948,0.376572362621000021,,,,
,,,,,,,,,,,,0.523121881276,47,0.526256301607,1499,,,,,0.532881465634,0.379941978306999937,,,,
,,,,,,,,,,,,0.526256301607,47,0.529511849948,1499,,,,,0.536162326486,0.383222839159000015,,,,
,,,,,,,,,,,,0.529511849948,47,0.532881465634,1499,,,,,0.539428081328,0.386488594000999994,,,,
,,,,,,,,,,,,0.532881465634,47,0.536162326486,1499,,,,,0.542779921328,0.389840434000999989,,,,
,,,,,,,,,,,,0.536162326486,47,0.539428081328,1499,,,,,0.546017417607,0.393077930279999929,,,,
,,,,,,,,,,,,0.539428081328,47,0.542779921328,1499,,,,,0.549351864899,0.396412377571999983,,,,
,,,,,,,,,,,,0.542779921328,47,0.546017417607,1499,,,,,0.552592133217,0.399652645889999934,,,,
,,,,,,,,,,,,0.546017417607,47,0.549351864899,1499,,,,,0.555888497065,0.402949009737999961,,,,
,,,,,,,,,,,,0.549351864899,47,0.552592133217,1499,,,,,0.559218160206,0.40627867287899999,,,,
,,,,,,,,,,,,0.552592133217,47,0.555888497065,1499,,,,,0.594371294402,0.441431807074999957,,,,
,,,,,,,,,,,,0.555888497065,47,0.559218160206,1499,,,,,0.594491214402,0.441551727075000008,,,,
,,,,,,,,,,,,0.559218160206,47,0.594371294402,1499,,,,,0.596572992966,0.443633505638999945,,,,
,,,,,,,,,,,,0.594371294402,47,0.594491214402,1499,,,,,0.599873921328,0.446934434000999967,,,,
,,,,,,,,,,,,0.594491214402,47,0.596572992966,1499,,,,,0.603359566076,0.450420078748999917,,,,
