numActiveSessions:vector baselineTestQoS.hostSSH[22].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[22].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[22].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[22].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[22].tcp.conn-645 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[22].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[22].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,roundTripTime:vector baselineTestQoS.hostSSH[22].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.943622998451,51,1.023805686032,51,2.023805686032,40,2.1039594712,0.080153785167999979,2.1039667512,40,2.1039667512,0.04014829839999999,4.3140133752,0.08063170257299998
0.943622998451,1,1.023805686032,47,2.1039594712,47,2.073805686032,40,2.1885270712,0.084567599999999992,2.1885343512,40,2.1885343512,0.044559994399999996,,
,,2.023805686032,87,2.1039667512,87,2.123805686032,40,2.2689679512,0.080440879999999992,2.2689787512,80,2.2689787512,0.040433562399999997,,
,,2.1039594712,87,2.1885270712,47,2.173805686032,40,2.3490341912,0.080066239999999982,2.3490414712,40,2.2689787512,0.040433562399999997,,
,,2.1039667512,47,2.1885343512,87,2.223805686032,40,2.4293717912,0.08033759999999998,2.4293825912,80,2.3490414712,0.040058058399999998,,
,,2.1885270712,127,2.2689679512,47,2.273805686032,40,2.5095458712,0.08017407999999998,2.5095566712,80,2.4293825912,0.0403302824,,
,,2.1885343512,47,2.2689787512,127,2.323805686032,40,2.5901433112,0.080597439999999992,2.5901505912,40,2.4293825912,0.0403302824,,
,,2.2689679512,87,2.3490341912,47,2.373805686032,40,2.6702825112,0.080139199999999993,2.6703327352,528,2.5095566712,0.040166186399999997,,
,,2.2689787512,47,2.3490414712,87,2.423805686032,40,3.7505857912,0.080253055999999988,3.7505930712,40,2.5095566712,0.040166186399999997,,
,,2.3490341912,127,2.4293717912,47,2.473805686032,40,3.8307733112,0.080187519999999984,3.8307805912,40,2.5901505912,0.040589258399999994,,
,,2.3490414712,47,2.4293825912,127,2.523805686032,40,3.9110133912,0.080240079999999991,3.9110241912,80,2.6703327352,0.0401745384,,
,,2.4293717912,127,2.5095458712,47,3.6703327352,40,3.9912472312,0.08023384,3.9912545112,40,3.7505930712,0.040248650400000002,,
,,2.4293825912,47,2.5095566712,127,3.7203327352,40,4.0715857912,0.080338560000000002,4.0715965912,80,3.8307805912,0.040179914400000002,,
,,2.5095458712,87,2.5901433112,47,3.7703327352,40,4.1528501112,0.08126432,4.1528609112,80,3.9110241912,0.040232762399999996,,
,,2.5095566712,47,2.5901505912,87,3.8203327352,40,4.2336306712,0.08078056,4.2336379512,40,3.9110241912,0.040232762399999996,,
,,2.5901433112,87,2.6702825112,47,3.8703327352,40,4.3139631512,0.080332479999999983,4.3140133752,528,3.9912545112,0.040225658400000002,,
,,2.5901505912,47,2.6703327352,575,3.9203327352,40,,,,,4.0715965912,0.040331242399999994,,
,,2.6703327352,47,3.7505857912,47,3.9703327352,40,,,,,4.0715965912,0.040331242399999994,,
,,3.6703327352,87,3.7505930712,87,4.0203327352,40,,,,,4.1528609112,0.04125642639999999,,
,,3.7505857912,87,3.8307733112,47,4.0703327352,40,,,,,4.1528609112,0.04125642639999999,,
,,3.7505930712,47,3.8307805912,87,4.1203327352,40,,,,,4.2336379512,0.040772378400000003,,
,,3.8307733112,127,3.9110133912,47,4.1703327352,40,,,,,4.3140133752,0.040367818399999991,,
,,3.8307805912,47,3.9110241912,127,,,,,,,,,,
,,3.9110133912,87,3.9912472312,47,,,,,,,,,,
,,3.9110241912,47,3.9912545112,87,,,,,,,,,,
,,3.9912472312,127,4.0715857912,47,,,,,,,,,,
,,3.9912545112,47,4.0715965912,127,,,,,,,,,,
,,4.0715857912,127,4.1528501112,47,,,,,,,,,,
,,4.0715965912,47,4.1528609112,127,,,,,,,,,,
,,4.1528501112,87,4.2336306712,47,,,,,,,,,,
,,4.1528609112,47,4.2336379512,87,,,,,,,,,,
,,4.2336306712,87,4.3139631512,47,,,,,,,,,,
,,4.2336379512,47,4.3140133752,575,,,,,,,,,,
,,4.3140133752,47,,,,,,,,,,,,
