numActiveSessions:vector baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostSSH[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostSSH[6].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetSent:vector(packetBytes) baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostSSH[6].tcp.conn-504 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetReceived:vector(packetBytes) baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostSSH[6].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0,0,0.203520205931,51,0.283729663531,51,1.283729663531,40,1.3639161912,0.080186527669000001,1.3639234712,40,1.3639234712,0.040182122069
0.203520205931,1,0.283729663531,47,1.3639161912,47,1.333729663531,40,1.4441313112,0.08021512,1.4441385912,40,1.4441385912,0.040207514399999991
,,1.283729663531,87,1.3639234712,87,1.383729663531,40,1.5244026712,0.080271359999999985,1.5244134712,80,1.5244134712,0.040264042399999991
,,1.3639161912,87,1.4441313112,47,1.433729663531,40,1.6048244312,0.08042175999999998,1.6048317112,40,1.5244134712,0.040264042399999991
,,1.3639234712,47,1.4441385912,87,1.483729663531,40,1.6851135512,0.080289119999999991,1.6851243512,80,1.6048317112,0.040413578399999996
,,1.4441313112,127,1.5244026712,47,1.533729663531,40,1.7653325112,0.080218960000000005,1.7653433112,80,1.6851243512,0.040281802399999996
,,1.4441385912,47,1.5244134712,127,1.583729663531,40,1.8458801112,0.080547599999999996,1.8458873912,40,1.6851243512,0.040281802399999996
,,1.5244026712,87,1.6048244312,47,1.633729663531,40,1.9262062712,0.080326159999999979,1.9262564952,528,1.7653433112,0.040211066399999994
,,1.5244134712,47,1.6048317112,87,1.683729663531,40,3.0063479512,0.080091456000000004,3.0063552312,40,1.7653433112,0.040211066399999994
,,1.6048244312,127,1.6851135512,47,1.733729663531,40,3.0884470712,0.082099119999999997,3.0884543512,40,1.8458873912,0.040539418399999998
,,1.6048317112,47,1.6851243512,127,1.783729663531,40,3.1745611512,0.086114079999999981,3.1745719512,80,1.9262564952,0.0403614984
,,1.6851135512,127,1.7653325112,47,2.9262564952,40,3.2547885912,0.080227439999999982,3.2547958712,40,3.0063552312,0.04008705039999999
,,1.6851243512,47,1.7653433112,127,2.9762564952,40,3.3348608312,0.080072239999999988,3.3348716312,80,3.0884543512,0.042091514400000001
,,1.7653325112,87,1.8458801112,47,3.0262564952,40,3.4150774712,0.080216640000000005,3.4150882712,80,3.1745719512,0.0461067624
,,1.7653433112,47,1.8458873912,87,3.0762564952,40,3.4952093112,0.080131839999999981,3.4952165912,40,3.1745719512,0.0461067624
,,1.8458801112,87,1.9262062712,47,3.1262564952,40,3.5752914712,0.080082159999999985,3.5753416952,528,3.2547958712,0.040219258399999999
,,1.8458873912,47,1.9262564952,575,3.1762564952,40,4.6555670712,0.080225375999999986,4.6555743512,40,3.3348716312,0.040064922399999994
,,1.9262564952,47,3.0063479512,47,3.2262564952,40,4.7356259512,0.080058879999999998,4.7356332312,40,3.3348716312,0.040064922399999994
,,2.9262564952,87,3.0063552312,87,3.2762564952,40,4.8157850712,0.08015912,4.8157958712,80,3.4150882712,0.040208746399999994
,,3.0063479512,87,3.0884470712,47,3.3262564952,40,4.8960494712,0.080264399999999985,4.8960567512,40,3.4150882712,0.040208746399999994
,,3.0063552312,47,3.0884543512,87,3.3762564952,40,4.9763118712,0.080262399999999983,4.9763226712,80,3.4952165912,0.040123658399999997
,,3.0884470712,127,3.1745611512,47,3.4262564952,40,,,,,3.5753416952,0.040122922399999996
,,3.0884543512,47,3.1745719512,127,4.5753416952,40,,,,,4.6555743512,0.0402209704
,,3.1745611512,87,3.2547885912,47,4.6253416952,40,,,,,4.7356332312,0.040051274400000003
,,3.1745719512,47,3.2547958712,87,4.6753416952,40,,,,,4.8157958712,0.040151802399999991
,,3.2547885912,127,3.3348608312,47,4.7253416952,40,,,,,4.8157958712,0.040151802399999991
,,3.2547958712,47,3.3348716312,127,4.7753416952,40,,,,,4.8960567512,0.040256218400000001
,,3.3348608312,127,3.4150774712,47,4.8253416952,40,,,,,4.9763226712,0.040255082400000002
,,3.3348716312,47,3.4150882712,127,4.8753416952,40,,,,,4.9763226712,0.040255082400000002
,,3.4150774712,87,3.4952093112,47,4.9253416952,40,,,,,,
,,3.4150882712,47,3.4952165912,87,4.9753416952,40,,,,,,
,,3.4952093112,87,3.5752914712,47,,,,,,,,
,,3.4952165912,47,3.5753416952,575,,,,,,,,
,,3.5753416952,47,4.6555670712,47,,,,,,,,
,,4.5753416952,87,4.6555743512,87,,,,,,,,
,,4.6555670712,87,4.7356259512,47,,,,,,,,
,,4.6555743512,47,4.7356332312,87,,,,,,,,
,,4.7356259512,127,4.8157850712,47,,,,,,,,
,,4.7356332312,47,4.8157958712,127,,,,,,,,
,,4.8157850712,87,4.8960494712,47,,,,,,,,
,,4.8157958712,47,4.8960567512,87,,,,,,,,
,,4.8960494712,127,4.9763118712,47,,,,,,,,
,,4.8960567512,47,4.9763226712,127,,,,,,,,
,,4.9763118712,127,,,,,,,,,,
,,4.9763226712,47,,,,,,,,,,
