rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.214652470486,51,0.294860912086,51
0.294861896086,47,0.374892786486,47
0.294863872086,247,0.375012706486,1499
0.375025274486,47,0.455251590486,1499
0.455264158486,47,0.455371510486,1499
0.455384078486,47,0.535490474486,1499
0.535503042486,47,0.535610394486,1499
0.535622962486,47,0.539119988206,1499
0.539132556206,47,0.544430919666,1499
0.544443487666,47,0.615797246616,1499
0.615809814616,47,0.615917166616,1499
0.615929734616,47,0.619371828206,1499
0.619384396206,47,0.624769803666,1499
0.624782371666,47,0.630126972007,1499
0.630139540007,47,0.635566074557,1499
0.635578642557,47,0.640867429328,1499
0.640879997328,47,0.646145165607,1499
0.646157733607,47,0.696043091416,1499
0.696055659416,47,0.696163011416,1499
0.696175579416,47,0.699709513006,1499
0.699722081006,47,0.705114850646,1499
0.705127418646,47,0.710358656807,1499
0.710371224807,47,0.715829334557,1499
0.715841902557,47,0.721077375359,1499
0.721089943359,47,0.726394228172,1499
0.726406796172,47,0.731827904127,1499
0.731840472127,47,0.737127053585,1499
0.737139621585,47,0.742895588959,1499
0.742908156959,47,0.74783108661,1499
0.74784365461,47,0.753164215817,1499
0.753176783817,47,0.758537868966,1499
0.758550436966,47,0.763918042876,1499
0.763930610876,47,0.769211692597,1499
0.769224260597,47,0.776380776216,1499
0.776393344216,47,0.780051277806,1499
0.780063845806,47,0.785339298803,1499
0.785351866803,47,0.790694896597,1499
0.790707464597,47,0.796093094817,1499
0.796105662817,47,0.801416259359,1499
0.801428827359,47,0.806751832972,1499
0.806764400972,47,0.812037940757,1499
0.812050508757,47,0.817465937585,1499
0.817478505585,47,0.822854824642,1499
0.822867392642,47,0.82816997061,1499
0.82818253861,47,0.833504205217,1499
0.833516773217,47,0.838876752966,1499
0.838889320966,47,0.844216765276,1499
0.844229333276,47,0.849575297397,1499
0.849587865397,47,0.854862070898,1499
0.854874638898,47,0.860442868206,1499
0.860455436206,47,0.865796903603,1499
0.865809471603,47,0.871012661397,1499
