numActiveSessions:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHBufferLength:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoBitrate:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoResolution:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,txPk:vector(packetBytes) baselineTestQoS.hostLVD[69].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.hostLVD[69].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,DASHliveDelay:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rtt:vector baselineTestQoS.hostLVD[69].tcp.conn-1831 (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,endToEndDelay:vector baselineTestQoS.hostLVD[69].app[0] (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0,0,0,0,0,0,0,103,0,240,0,0,0,51,0.081167368,51,0.081167368,0.081167367999999989,0.366195684,0.285028316000000002,0.36652722,0.20882210879999996
0,1,,,,,,,,,,,0.081167368,47,0.366195684,47,,,,,1.0886361432,0.930931031999999931
,,,,,,,,,,,,0.081167744,247,0.36652722,1499,,,,,1.093969972213,0.93626486101299999
,,,,,,,,,,,,0.36652722,47,1.0886361432,1499,,,,,2.5126260696,2.354920958400000145
,,,,,,,,,,,,1.0886361432,47,1.093969972213,1499,,,,,2.518007725822,2.360302614621999407
,,,,,,,,,,,,1.093969972213,47,2.5126260696,1499,,,,,2.530040894044,2.372335782843999915
,,,,,,,,,,,,2.5126260696,47,2.518007725822,1499,,,,,2.535391389022,2.377686277821999807
,,,,,,,,,,,,2.518007725822,47,2.530040894044,1499,,,,,4.592162098044,4.434456986843999332
,,,,,,,,,,,,2.530040894044,47,2.535391389022,1499,,,,,4.597674995644,4.439969884444000295
,,,,,,,,,,,,2.535391389022,47,4.592162098044,1499,,,,,4.6028596848,4.445154573599999975
,,,,,,,,,,,,4.592162098044,47,4.597674995644,1499,,,,,4.6081840144,4.450478903199998705
,,,,,,,,,,,,4.597674995644,47,4.6028596848,1499,,,,,4.662722,4.505016888800000155
,,,,,,,,,,,,4.6028596848,47,4.6081840144,1499,,,,,4.667997318422,4.510292207221999282
,,,,,,,,,,,,4.6081840144,47,4.662722,1499,,,,,4.673400982044,4.51569587084399868
,,,,,,,,,,,,4.662722,47,4.667997318422,1499,,,,,4.678753719644,4.52104860844399957
,,,,,,,,,,,,4.667997318422,47,4.673400982044,1499,,,,,,
,,,,,,,,,,,,4.673400982044,47,4.678753719644,1499,,,,,,
,,,,,,,,,,,,4.678753719644,47,,,,,,,,
