txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0.000000508,51,0.06000622,75
0.000004588,51,0.06001222,75
0.000008668,51,0.06001822,75
0.000012748,51,0.08000622,75
0.000016828,51,0.08001222,75
0.000020908,51,0.0800163,51
0.000024988,51,0.08002038,51
0.000029068,51,0.08002446,51
0.000033148,51,0.08002854,51
0.000037228,51,0.08003262,51
0.000041308,51,0.0800367,51
0.000045388,51,0.08004078,51
0.000049468,51,0.08004486,51
0.000053548,51,0.08004894,51
0.000057628,51,0.08005302,51
0.000061708,51,0.0800571,51
0.000065788,51,0.08006118,51
0.000069868,51,0.08006526,51
0.000073948,51,0.08006934,51
0.000078028,51,0.08007342,51
0.000082108,51,0.0800775,51
0.000086188,51,0.08008158,51
0.000090268,51,0.08008566,51
0.000094348,51,0.08008974,51
0.000098428,51,0.08009382,51
0.000102508,51,0.0800979,51
0.000106588,51,0.08010198,51
0.000110668,51,0.08010606,51
0.000114748,51,0.08011014,51
0.000118828,51,0.08011422,51
0.000122908,51,0.0801183,51
0.000126988,51,0.08012238,51
0.000131068,51,0.08012646,51
0.000135148,51,0.08013054,51
0.000139228,51,0.08013462,51
0.000143308,51,0.0801387,51
0.000147388,51,0.08014278,51
0.000151468,51,0.08014686,51
0.000155548,51,0.08015094,51
0.000159628,51,0.08015502,51
0.000163708,51,0.0801591,51
0.000167788,51,0.08016318,51
0.000171868,51,0.08016726,51
0.000175948,51,0.08017134,51
0.000180028,51,0.08017542,51
0.000184108,51,0.0801795,51
0.000188188,51,0.08018358,51
0.000192268,51,0.08018766,51
0.000196348,51,0.08019174,51
0.000200428,51,0.08019582,51
0.000204508,51,0.0801999,51
0.000208588,51,0.08020398,51
0.000212668,51,0.08020806,51
0.000216748,51,0.08021214,51
0.000220828,51,0.08021622,51
0.000224908,51,0.0802203,51
0.000228988,51,0.08022438,51
0.000233068,51,0.08022846,51
0.000237148,51,0.08023254,51
0.000241228,51,0.08023662,51
0.000245308,51,0.0802407,51
0.000249388,51,0.08024478,51
0.000253468,51,0.08024886,51
0.000257548,51,0.08025294,51
0.000261628,51,0.08025702,51
0.000265708,51,0.0802611,51
0.000269788,51,0.08026518,51
0.000273868,51,0.08026926,51
0.000277948,51,0.08027334,51
0.000282028,51,0.08027742,51
0.000286108,51,0.0802815,51
0.000290188,51,0.08028558,51
0.000294268,51,0.08028966,51
0.000298348,51,0.08029374,51
0.000302428,51,0.08029782,51
0.000306508,51,0.0803019,51
0.000310588,51,0.08030598,51
0.000314668,51,0.08031006,51
0.000318748,51,0.08031414,51
0.000322828,51,0.08031822,51
0.000326908,51,0.0803223,51
0.000330988,51,0.08032638,51
0.000335068,51,0.08033046,51
0.000339148,51,0.08033454,51
0.000343228,51,0.08033862,51
0.000347308,51,0.0803427,51
0.000351388,51,0.08034678,51
0.000355468,51,0.08035086,51
0.000359548,51,0.08035494,51
0.000363628,51,0.08035902,51
0.000367708,51,0.0803631,51
0.000371788,51,0.08036718,51
0.000375868,51,0.08037126,51
0.000379948,51,0.08037534,51
0.000384028,51,0.08037942,51
0.000388108,51,0.0803835,51
0.000392188,51,0.08038758,51
0.000396268,51,0.08039166,51
0.000400348,51,0.08039574,51
0.000404428,51,0.08039982,51
0.000408508,51,0.0804039,51
0.000412588,51,0.08040798,51
0.000416668,51,0.08041206,51
0.000420748,51,0.08041614,51
0.000424828,51,0.08042022,51
0.000428908,51,0.0804243,51
0.000432988,51,0.08042838,51
0.000437068,51,0.08043246,51
0.000441148,51,0.08043654,51
0.000445228,51,0.08044062,51
0.000449308,51,0.0804447,51
0.000453388,51,0.08044878,51
0.000457468,51,0.08045286,51
0.000461548,51,0.08045694,51
0.000465628,51,0.08046102,51
0.000469708,51,0.0804651,51
0.000473788,51,0.08046918,51
0.000477868,51,0.08047326,51
0.000481948,51,0.08047734,51
0.000486028,51,0.08048142,51
0.000490108,51,0.0804855,51
0.000494188,51,0.08048958,51
0.000498268,51,0.08049366,51
0.000502348,51,0.08049774,51
0.000506428,51,0.08050182,51
0.000510508,51,0.0805059,51
0.000514588,51,0.08050998,51
0.000518668,51,0.08051406,51
0.000522748,51,0.08051814,51
0.000526828,51,0.08052222,51
0.000530908,51,0.0805263,51
0.000534988,51,0.08053038,51
0.000539068,51,0.08053446,51
0.000543148,51,0.08053854,51
0.000547228,51,0.08054262,51
0.000551308,51,0.0805467,51
0.000555388,51,0.08055078,51
0.000559468,51,0.08055486,51
0.000563548,51,0.08055894,51
0.000567628,51,0.08056302,51
0.000571708,51,0.0805671,51
0.000575788,51,0.08057118,51
0.000579868,51,0.08057526,51
0.000583948,51,0.08057934,51
0.000588028,51,0.08058342,51
0.000592108,51,0.0805875,51
0.000596188,51,0.08059158,51
0.000600268,51,0.08059566,51
0.000604348,51,0.08059974,51
0.000608428,51,0.08060382,51
0.000612508,51,0.0806079,51
0.000616588,51,0.08061198,51
0.000620668,51,0.08061606,51
0.000624748,51,0.08062014,51
0.000628828,51,0.08062422,51
0.000632908,51,0.0806283,51
0.000636988,51,0.08063238,51
0.000641068,51,0.08063646,51
0.000645148,51,0.08064054,51
0.000649228,51,0.08064462,51
0.000653308,51,0.0806487,51
0.000657388,51,0.08065278,51
0.000661468,51,0.08065686,51
0.000665548,51,0.08066094,51
0.000669628,51,0.08066502,51
0.000673708,51,0.0806691,51
0.000677788,51,0.08067318,51
0.000681868,51,0.08067726,51
0.000685948,51,0.08068134,51
0.000690028,51,0.08068542,51
0.000694108,51,0.0806895,51
0.000698188,51,0.08069358,51
0.000702268,51,0.08069766,51
0.000706348,51,0.08070174,51
0.000710428,51,0.08070582,51
0.000714508,51,0.0807099,51
0.000718588,51,0.08071398,51
0.000722668,51,0.08071806,51
0.000726748,51,0.08072214,51
0.000730828,51,0.08072622,51
0.000734908,51,0.0807303,51
0.000738988,51,0.08073438,51
0.000743068,51,0.08073846,51
0.000747148,51,0.08074254,51
0.000751228,51,0.08074662,51
0.000755308,51,0.0807507,51
0.000759388,51,0.08075478,51
0.000763468,51,0.08075886,51
0.000767548,51,0.08076294,51
0.000771628,51,0.08076702,51
0.000775708,51,0.0807711,51
